PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
30361904,MIR375,I Marker,Colon carcinoma cell,Cancer cell,Colon,low-throughput,RT-PCR;qPCR;Weston blot;Microscopic observation,Non-target Genes Regulate miRNAs-Mediated Migration Steering of Colorectal Carcinoma,"Real time PCR data showed that expression of VEGFA, TGFβ1, IGF1, CD105 and CD44 was downregulated as a consequence of exogenous re-expression of miR-375 and inhibition of miR-224.",VEGFA;CD44;IGF1;ENG;TGFB1,CL_0001064
30403311,PIK3CA,I Marker,Stem cell,Cancer cell,Brain,low-throughput,Western blot;Immunofluorescent staining;qPCR,"Regulation of glioma cell invasion by 3q26 gene products PIK3CA, SOX2 and OPA1",PIK3CA is the marker expressed in Glioma cell  regulated by SOX2.PI3K/AKT-SOX2 and mitochondria fission represent connected signaling  networks regulating glioma invasion.,SOX2,CL_0000034
30403311,OPA1,I Marker,Stem cell,Cancer cell,Brain,low-throughput,Western blot;Immunofluorescent staining;qPCR,"Regulation of glioma cell invasion by 3q26 gene products PIK3CA, SOX2 and OPA1",OPA1 is the marker expressed in Glioma cell  regulated by SOX2.OPA1 deletion is interpreted to counteract OPA1 trans-activation.,SOX2,CL_0000034
30426155,CCL18,I Marker,Osteosarcoma cell,Cancer cell,Bone,low-throughput,Double immunohistochemistry staining;qRT-PCR;Weston blot,Macrophage-derived CCL18 promotes osteosarcoma proliferation and migration by upregulating the expression of UCA1,Macrophage-derived CCL18 promotes OS proliferation and metastasis via the EP300/UCA1/Wnt/β- catenin pathway and that CCL18 may be used as a prognostic marker and therapeutic target of OS.,UCA1,
30426155,CCL18,I Marker,Osteocyte cell,Cancer cell,Bone,low-throughput,Double immunohistochemistry staining;qRT-PCR;Weston blot,Macrophage-derived CCL18 promotes osteosarcoma proliferation and migration by upregulating the expression of UCA1,Macrophage-derived CCL18 promotes OS proliferation and metastasis via the EP300/UCA1/Wnt/β- catenin pathway and that CCL18 may be used as a prognostic marker and therapeutic target of OS.,UCA1,CL_0000137
30426155,UCA1,I Marker,Bone cell,Cancer cell,Bone,low-throughput,Double immunohistochemistry staining;qRT-PCR;Weston blot,Macrophage-derived CCL18 promotes osteosarcoma proliferation and migration by upregulating the expression of UCA1,UCA1 is a protein that affects osteosarcoma cells,CCL18,CL_0000137
30456527,MIR326,I Marker,B cell,Cancer cell,Immune,low-throughput + high-throughput,qRT-PCR;RT-PCR;Flow cytometry;PCR cycle seq,The potential role of Ets-1 and miR-326 in CD19 + B cells in the pathogenesis of patients with systemic lupus erythematosus,"MIR-326 promote B cells differentiation by targeting Ets-1, a negative regulator of B cells differentiation and therefore participate in the pathogenesis of systemic lupus erythematosus",ETS1,CL_0000236
30456697,CDX2,I Marker,Neuroendocrine neoplasia cell,Cancer cell,Liver,low-throughput,Microscopic observation;Immunohistochemistry,Neuroendocrine Liver Metastasis-a Specific Set of Markers to Detect Primary Tumor Sites,Homeobox protein CDX-2 (CDX2) is a marker of Neuroendocrine neoplasia liver metastases cells,TTF1;ISL1,
30456697,ISL1,I Marker,Neuroendocrine neoplasia cell,Cancer cell,Liver,low-throughput,Microscopic observation;Immunohistochemistry,Neuroendocrine Liver Metastasis-a Specific Set of Markers to Detect Primary Tumor Sites,Insulin gene enhancement protein islet-1 (ISL1) is a marker of Neuroendocrine neoplasia liver metastases cells,TTF1;CDX2,
30478628,CEMIP,I Marker,Non-small-cell lung cancer cell,Cancer cell,Lung,low-throughput + high-throughput,qPCR;qRT-PCR;Immunohistochemistry;Western blot; Microscopic observation;shNC seq,KIAA1199 promotes invasion and migration in non-small-cell lung cancer (NSCLC) via PI3K-Akt mediated EMT,"In non-small-cell lung cancer cell,KIAA1199 is not only aprognostic marker but a novel therapeutic target in NSCLC through regulating EMT signaling pathway",,
30582655,MIR193A,I Marker,Ovarian carcinoma cell,Cancer cell,Ovarian,low-throughput + high-throughput,Bioinformatic analysis;Weston blot;Gene knock down;Flow-throughput cytometry;RNA-seq;ChIP-PCR;Microscopic observation,"E2F6 functions as a competing endogenous RNA, and transcriptional repressor, to promote ovarian cancer stemness",MIR193A and C-KIT are markers expressed in ovarian cancer cells,E2F6,CL_0001064
30615941,PKLR,I Marker,Glial cell,Cancer cell,Liver,low-throughput + high-throughput,qPCR;siRNA;Western blot,Pyruvate kinase L/R is a regulator of lipid metabolism and mitochondrial function,"Potential perturbation ofPKLR, PNPLA3, and PCSK9 affect key pathways involved in liver dis-eases and it may provide beneficial effect in the treatment of suchdiseases.",PCSK9;PNPLA3,CL_0000125
30709927,PDCD1,I Marker,T cell,Cancer cell,Lymph,low-throughput + high-throughput,Immunofluorescence staining;Flow cytometry;siRNA transfection;ChIP,Eomes+T-betlow CD8+ T Cells Are Functionally Impaired and Are Associated with Poor Clinical Outcome in Patients with Acute Myeloid Leukemia (AML),"Antagonist antibodies against programmed cell death protein 1 (PD-1), a major regulator of T cell exhaustion, have been FDA-approved for treating multiple solid tumors.",CD8A,CL_0000084
30741933,CALCB,I Marker,Ewing sarcomas cell,Cancer cell,Bone,low-throughput + high-throughput,qRT-PCR;Immunohistochemistry;ChIP-Seq;Mass spectrometric analyses,Targeting the CALCB/RAMP1 axis inhibitsgrowth of Ewing sarcoma,CALCB is a direct EWSR1-FLI1 target and that targeting the CALCB/RAMP1 axis may offer a new therapeutic strategy forinhibition of EwS growth,FLI1;EWSR1,
30741933,RAMP1,I Marker,Ewing sarcomas cell,Cancer cell,Bone,low-throughput + high-throughput,qRT-PCR;Immunohistochemistry;ChIP-Seq;Mass spectrometric analyses,Targeting the CALCB/RAMP1 axis inhibitsgrowth of Ewing sarcoma,"CALCB signals viathe CGRP (calcitonin gene-related peptide) receptor complex, containing RAMP1 (receptor activity modifying protein 1)as crucial part for receptor specificity.",FLI1;EWSR1,
30741933,EWSR1,I Marker,Ewing sarcomas cell,Cancer cell,Bone,low-throughput + high-throughput,qRT-PCR;Immunohistochemistry;ChIP-Seq;Mass spectrometric analyses,Targeting the CALCB/RAMP1 axis inhibitsgrowth of Ewing sarcoma,Ewing sarcoma (EwS) is an aggressive cancer characterized by chromosomal translocations generating fusions of theEWSR1gene withETStranscription factors .,,
30741933,FLI1,I Marker,Ewing sarcomas cell,Cancer cell,Bone,low-throughput + high-throughput,qRT-PCR;Immunohistochemistry;ChIP-Seq;Mass spectrometric analyses,Targeting the CALCB/RAMP1 axis inhibitsgrowth of Ewing sarcoma,Ewing sarcoma (EwS) is an aggressive cancer characterized by chromosomal translocations generating fusions of theEWSR1gene withETStranscription factors .,,
30741933,CALCB,I Marker,Ewing sarcomas cell,Cancer cell,Bone,low-throughput + high-throughput,qRT-PCR;Immunohistochemistry;ChIP-Seq;Mass spectrometric analyses,Targeting the CALCB/RAMP1 axis inhibits growth of Ewing sarcoma,CALCB is a direct EWSR1-FLI1 target and that targeting the CALCB/RAMP1 axis may offer a new therapeutic strategy forinhibition of EwS growth,FLI1;EWSR1,
30741933,RAMP1,I Marker,Ewing sarcomas cell,Cancer cell,Bone,low-throughput + high-throughput,qRT-PCR;Immunohistochemistry;ChIP-Seq;Mass spectrometric analyses,Targeting the CALCB/RAMP1 axis inhibits growth of Ewing sarcoma,"CALCB signals viathe CGRP (calcitonin gene-related peptide) receptor complex, containing RAMP1 (receptor activity modifying protein 1)as crucial part for receptor specificity.",FLI1;EWSR1,
30778016,NLK,I Marker,Melanocytes cell,Cancer cell,Skin,low-throughput,Immunofluorescent staining;Microscopic observation;Immunohistochemistry;Gene knock down,Decreased expression of nemo-like kinase in melanoma is correlated with increased vascularity and metastasis,NLK expression in melanoma correlates with VEGFR2-related angiogenesis and melanoma metastasis.,KDR,
30797557,NLRP3,I Marker,Colon carcinoma cell,Cancer cell,Colon,low-throughput,Immunohistochemistry;Western blot;Microscopic observation;Gene knock down,Estrogen receptors participate in carcinogenesis signaling pathways by directly regulating NOD-like receptors,ERs participate in the NLR-associated signaling pathway in cancer by directly regulating NLRs.,,CL_0001064
30824187,HNRNPC,I Marker,Esophagus carcinoma cell,Cancer cell,Esophagus,low-throughput + high-throughput,qRT-PCR;Western blot;Immunofluorescent staining;Microscopic observation;Bioinformatic prediction,LBX2-AS1 is activated by ZEB1 and promotes the development of esophageal squamous cell carcinoma by interacting with HNRNPC to enhance the stability of ZEB1 and ZEB2 mRNAs,"RNA binding protein heteronuclear protein C (HNRNPC) can simultaneously interact with LBx2-AS1, ZEB1 and ZEB2 and play a role in the expression of esophageal cancer",ZEB2;ZEB1,CL_0001064
30826436,PDCD1,I Marker,T cell,Cancer cell,Lymph,low-throughput,Flow-throughput cytometry,OX40 stimulation and PD-L1 blockade synergistically augment HBV-specific CD5 T cells in patients with HBeAg-negative infection,HBVspecific CD4 T cells can be functionally augmented by combined stimulation of the co-stimulatory molecule OX40 and blockade of the inhibitory PD-1 pathway,CD4,CL_0000084
30826436,CD4,I Marker,T cell,Cancer cell,Lymph,low-throughput,Flow-throughput cytometry,OX40 stimulation and PD-L1 blockade synergistically augment HBV-specific CD6 T cells in patients with HBeAg-negative infection,HBVspecific CD4 T cells can be functionally augmented by combined stimulation of the co-stimulatory molecule OX40 and blockade of the inhibitory PD-1 pathway,TNFRSF4,CL_0000084
30868061,MIR25,I Marker,Nerve cell,Cancer cell,Nerve,low-throughput + high-throughput,qRT-PCR;Western blot;Chromatin immunoprecipitation;Luciferase reporter analysis;Sequencing technique,SLC34A2 promotes neuroblastoma cell stemness via enhancement of miR-25/Gsk3b-mediated activation of Wnt/ b-catenin signaling,MIR-25/GSK3B-mediated activation of Wnt signaling is responsible for SLC34A2-induced enhancement of neuroblastoma cell stemness.,SLC34A2,CL_0002319
30886049,MLH1,I Marker,Sebaceous gland cancer cell,Cancer cell,Sebaceous gland,low-throughput + high-throughput,Immunofluorescent staining;Flow cytometry;Microscopic observation;H&E staining;ChIP-Seq;Flow cytometry;SiRNA transfection;RT–qPCR,Mutant Lef1 controls Gata6 in sebaceous gland development and cancer,The increased tumor burden correlates with impaired DNA mismatch repair and decreased expression of MLH1 and MSH2 genes,GATA6;LEF1,
30886049,MSH2,I Marker,Sebaceous gland cancer cell,Cancer cell,Sebaceous gland,low-throughput + high-throughput,Immunofluorescent staining;Flow cytometry;Microscopic observation;H&E staining;ChIP-Seq;Flow cytometry;SiRNA transfection;RT–qPCR,Mutant Lef1 controls Gata6 in sebaceous gland development and cancer,The increased tumor burden correlates with impaired DNA mismatch repair and decreased expression of MLH1 and MSH2 genes,GATA6;LEF1,
30910979,CD44,I Marker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Immunofluorescent staining;Western blot;Microscopic observation;RNA-Seq,Acquisition of a hybrid E/M state is essential for tumorigenicity of basal breast cancer cells,"ITGB4+/CD44hi antigen marker combination, we isolated highly tumorigenic breast cancer cells residing stably both in vitro and in vivo in an intermediate phenotypic state and coexpressing both epithelial (E) and mesenchymal (M) markers.",,CL_0000034
30919591,SBSN,I Marker,Colon carcinoma cell,Cancer cell,Colon,low-throughput + high-throughput,RT-qPCR;Western blot,Interferon-regulated suprabasin is essential for stress-induced stem-like cell conversion and therapy resistance of human malignancies,"a skin-specific protein suprabasin (SBSN), a recently identified oncoprotein, was among the top scoring genes upregulated in surviving low-adherent cancer cells induced by 5-azacytidine or irradiation.",TRPM2,CL_0001064
30935420,SIN3B,I Marker,Nasopharyngeal carcinoma cell,Cancer cell,Nasopharyngeal carcinoma,high-throughput,RNA-seq,Bioinformatic identification of candidate biomarkers and related transcription factors in nasopharyngeal carcinoma,"Key transcriptional factors, such as SPI1, SIN3B, and GATA2, were identified with close interactions with these five hub DEGs from the genetranscriptional factor network",ALDH3A1;DNAI2;DNALI1;RSPH9;RSPH4A,
30981107,SLC46A3,I Marker,Hepatocellular carcinoma cell,Cancer cell,Liver,low-throughput,qRT-PCR;Western blot;Microscopic observation,Increased expression of SLC46A3 to oppose the progression of hepatocellular carcinoma and its effect on sorafenib therapy,SLC46A3 is a potential prognostic biomarker and therapeutic target for HCC and inhibit the migration and invasion levels of hepatocellular carcinoma cells,VIM;CDH2,
30992025,XRCC4,I Marker,Glioblastoma cell,Cancer cell,Nerve,low-throughput + high-throughput,RNA immunoprecipitation;ChIP;Immunofluorescent staining;Weston blot;qRT-PCR;Flow cytometric;Immunohistochemistry;Gene knock down,Exosomal transfer of long non-coding RNASBF2-AS1 enhances chemoresistance totemozolomide in glioblastoma,"XRCC4, a major factorfor DSB repair, has recently been verified to be asso-ciated with TMZ resistance .",ZEB1,
30995827,SLC25A13,I Marker,Liver cell,Cancer cell,Liver,low-throughput + high-throughput,Weston blot;PCR;ChIP-qPCR;RT-PCR;ChIP,"Transcriptional Regulation Factors of the Human Mitochondrial Aspartate/Glutamate Carrier Gene,Isoform 2 (SLC25A13): USF1 as Basal Factor and FOXA2 as Activator in Liver Cells","The humanSLC25A13gene, encoding for themitochondrial aspartate/glutamate carrier isoform 2 (AGC2), catalyses the electrogenic exchange ofaspartate for glutamate plus a proton, thus taking part in many metabolic processes including themalate-aspartate shuttle.",USF1;FOXA2,CL_0000182
31092432,MCAM,I Marker,Prostate cancer cell,Cancer cell,Prostate,low-throughput,RT-PCR;Immunofluorescent staining;Western blot;Microscopic observation,The Epigenetic Modifier 5-Aza-2-deoxycytidine Triggers the Expression of CD146 Gene in Prostate Cancer Cells,Overexpression of CD146 in prostate cancer cells was sufficient to induce a mesenchymal phenotype,ZEB1,
31099456,S100P,I Marker,Stem cell,Cancer cell,Breast,low-throughput,RT-qPCR;Western blot;Immunofluorescence staining;qPCR;Gene knock down,Increased expression of the HDAC9 gene is associated with antiestrogen resistance of breast cancers,"Several genes (including MUC1, SMC3 and S100P) were similarly deregulated in OHTam-resistant and in HDAC9-overexpressing MCF7 cells. ",MUC1,CL_0000034
31099456,SMC3,I Marker,Stem cell,Cancer cell,Breast,low-throughput,RT-qPCR;Western blot;Immunofluorescence staining;qPCR;Gene knock down,Increased expression of the HDAC9 gene is associated with antiestrogen resistance of breast cancers,"Several genes (including MUC1, SMC3 and S100P) were similarly deregulated in OHTam-resistant and in HDAC9-overexpressing MCF7 cells. ",MUC1,CL_0000034
31099456,HDAC9,I Marker,Stem cell,Cancer cell,Breast,low-throughput,RT-qPCR;Western blot;Immunofluorescence staining;qPCR;Gene knock down,Increased expression of the HDAC9 gene is associated with antiestrogen resistance of breast cancers,The complex interactions of class IIa HDAC9 with ERa signaling in breast cancer cells and its effect on the response to hormone therapy.,MUC1,CL_0000034
31141539,PDLIM7,I Marker,Lymphoid cell,Cancer cell,Hematopoietic,low-throughput,Microscopic observation;Western blot;RT-PCR;RQ-PCR;Immunofluorescent staining,Epstein-Barr virus (EBV) activates NKL homeobox gene HLX in DLBCL,"The EBV-encoded factors LMP1 and LMP2A activated the expression of HLX via STAT3. HLX in turn repressed NKX6-3, SPIB and IL4R which normally mediate plasma cell differentiation.",STAT3,CL_0000542
31141539,PDLIM7,I Marker,Lymphoid cell,Cancer cell,Hematopoietic,low-throughput,Microscopic observation;Western blot;RT-PCR;RQ-PCR;Immunofluorescent staining,Epstein-Barr virus (EBV) activates NKL homeobox gene HLX in DLBCL,"The EBV-encoded factors LMP1 and LMP2A activated the expression of HLX via STAT3. HLX in turn repressed NKX6-3, SPIB and IL4R which normally mediate plasma cell differentiation.",STAT3,CL_0001065
31146004,ATP2A3,I Marker,Liver carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,qRT-PCR;RT-PCR;RNA-seq,Histone deacetylase inhibitors promote ATP2A3 gene expression in hepatocellular carcinoma cells: p300 as a transcriptional regulator,NaB and TSA increase H3K9ac and H3K27ac in two ATP2A3 promoter regions. ,SP3;SP1,CL_0001064
31146720,B2M,I Marker,Stem cell,Cancer cell,Prostate,low-throughput + high-throughput,Weston blot;Microscopic observation;RT-PCR;RNA-seq,Lineage relationship between prostate adenocarcinoma and small cell carcinoma,"B2M is a so-called housekeeping marker in adult cell types, both normal and cancerous",B2M,CL_0000034
31149037,OGT,I Marker,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput + high-throughput,Western blot;RT-qPCR;ChIP-seq;RNA-seq;DNA-seq;qPCR;ChIP-qPCR;qPCR,High OGT activity is essential for MYC-driven proliferation of prostate cancer cells,O-GlcNAc transferase (OGT) is overexpressed in aggressive prostate cancer.OGT promotes SE-dependent gene expression. OGT activity is required for the interaction between MYC and HCF-1 and expression of MYC-regulated mitotic proteins.,,CL_0001064
31150646,MIR200A,I Marker,Stomach carcinoma cell,Cancer cell,Stomach,low-throughput,qRT-PCR;Western blot;Microscopic observation,The expression level changes of microRNAs 200a/205 in the development of invasive properties in gastric cancer cells through epithelial-mesenchymal transition,MIR-200A could be used as a candidate to prevent the invasive properties of gastric cancer through the EMT process.,MIR200A,CL_0001064
31151983,GRB2,I Marker,Stem cell,Cancer cell,Lymph,low-throughput,qPCR;Western blot;Microscopic observation;Immunofluorescent staining;Flow-throughput cytometry,A novel model of controlling PD-L1 expression in ALK1 anaplastic large cell lymphoma revealed by CRISPR screening,STAT3 is transcription factors.PD-L1 induction is dependent on the nucleophosmin-ALK oncoprotein activation of STAT3,CD274,CL_0000034
31153693,TNFAIP3,I Marker,Stomach carcinoma cell,Cancer cell,Stomach,low-throughput,Western blot;qRT-PCR;Gene knock down,The potential role of TNFAIP3 in malignant transformation of gastric carcinoma,"Tumor necrosis factor alpha-induced protein 3 (TNFAIP3), a deubiquitinating enzyme, plays an essential regulatory role in inflammation, immune responses and tumorigenesis. ",ZEB1;SNAI1,CL_0001064
31234811,MAML3,I Marker,Neuroblastoma cell,Cancer cell,Nerve,high-throughput,RNA-seq;Sequencing technique,"Master regulator analysis of paragangliomas carrying SDHx, VHL, or MAML3 genetic alterations",Succinate dehydrogenase (SDH) loss and mastermind-like 3 (MAML3) translocation are two clinicallyimportant genetic alterations that correlate with increased rates of metastasis in subtypes of human paragangliomaand pheochromocytoma (PPGL) neuroendocrine tumors.,EPAS1,
31518962,LDHB,I Marker,Triple negative breast cancer cell,Cancer cell,Breast,low-throughput,Flow-throughput cytometry;Weston blot,"Effective electrochemotherapy with curcumin in MDA-MB-231-human, triple negative breast cancer cells: A global proteomics study","ALDOA, ENO2 LDHA, LDHB, PFKP, PGM1, PGAM1 and PGK1 are eight major glycolytic proteins.",ENO2,
31518962,ENO2,I Marker,Triple negative breast cancer cell,Cancer cell,Breast,low-throughput,Flow-throughput cytometry;Weston blot,"Effective electrochemotherapy with curcumin in MDA-MB-231-human, triple negative breast cancer cells: A global proteomics study","ALDOA, ENO2 LDHA, LDHB, PFKP, PGM1, PGAM1 and PGK1 are eight major glycolytic proteins.",LDHA,
31518962,LDHA,I Marker,Triple negative breast cancer cell,Cancer cell,Breast,low-throughput,Flow-throughput cytometry;Weston blot,"Effective electrochemotherapy with curcumin in MDA-MB-231-human, triple negative breast cancer cells: A global proteomics study","ALDOA, ENO2 LDHA, LDHB, PFKP, PGM1, PGAM1 and PGK1 are eight major glycolytic proteins.",PGM1,
31518962,PGM1,I Marker,Triple negative breast cancer cell,Cancer cell,Breast,low-throughput,Flow-throughput cytometry;Weston blot,"Effective electrochemotherapy with curcumin in MDA-MB-231-human, triple negative breast cancer cells: A global proteomics study","ALDOA, ENO2 LDHA, LDHB, PFKP, PGM1, PGAM1 and PGK1 are eight major glycolytic proteins.",PFKP,
31518962,PFKP,I Marker,Triple negative breast cancer cell,Cancer cell,Breast,low-throughput,Flow-throughput cytometry;Weston blot,"Effective electrochemotherapy with curcumin in MDA-MB-231-human, triple negative breast cancer cells: A global proteomics study","ALDOA, ENO2 LDHA, LDHB, PFKP, PGM1, PGAM1 and PGK1 are eight major glycolytic proteins.",PGK1,
31518962,PGK1,I Marker,Triple negative breast cancer cell,Cancer cell,Breast,low-throughput,Flow-throughput cytometry;Weston blot,"Effective electrochemotherapy with curcumin in MDA-MB-231-human, triple negative breast cancer cells: A global proteomics study","ALDOA, ENO2 LDHA, LDHB, PFKP, PGM1, PGAM1 and PGK1 are eight major glycolytic proteins.",PGAM1,
31518962,PGAM1,I Marker,Triple negative breast cancer cell,Cancer cell,Breast,low-throughput,Flow-throughput cytometry;Weston blot,"Effective electrochemotherapy with curcumin in MDA-MB-231-human, triple negative breast cancer cells: A global proteomics study","ALDOA, ENO2 LDHA, LDHB, PFKP, PGM1, PGAM1 and PGK1 are eight major glycolytic proteins.",ALDOA,
31536386,TGFB1I1,I Marker,Bone cell,Cancer cell,Bone,low-throughput + high-throughput,PCR;Sequencing technique,"PTHR1 May Be Involved in Progression of Osteosarcoma by Regulating miR-124-3p- AR-Tgfb1i1, miR-27a-3p- PPARG-Abca1, and miR-103/590-3p- AXIN2 Axes",TGFB1I1 is also known as ARA55 due to its ability to encode a coactivator for the AR.,,CL_0000137
31536386,PTH1R,I Marker,Bone cell,Cancer cell,Bone,low-throughput + high-throughput,PCR;Sequencing technique,"PTHR1 May Be Involved in Progression of Osteosarcoma by Regulating miR-124-3p- AR-Tgfb1i1, miR-27a-3p- PPARG-Abca1, and miR-103/590-3p- AXIN2 Axes","Parathyroid hormone type 1 receptor (PTHR1) may play important roles in development and progression of osteosarcoma (OS) by regulating Wnt, angiogenesis, and inflammation pathway genes.",,CL_0000137
31536386,ABCA1,I Marker,Bone cell,Cancer cell,Bone,low-throughput + high-throughput,PCR;Sequencing technique,"PTHR1 May Be Involved in Progression of Osteosarcoma by Regulating miR-124-3p- AR-Tgfb1i1, miR-27a-3p- PPARG-Abca1, and miR-103/590-3p- AXIN2 Axes",The expression trends of TFs AR and PPARG and their target genes TGFB1I1 and ABCA1 were consistent.,,CL_0000137
31536510,PTHLH,I Marker,Prostate Carcinoma cell,Cancer cell,Prostate,low-throughput + high-throughput,PCR;RNA-Seq;Weston blot;Gene knock down,TCF4 induces enzalutamide resistance via neuroendocrine differentiation in prostate cancer,PTHrP is a transcription factor that affects Prostate cancer cell,TCF4,
31550266,HDAC9,I Marker,Ewing sarcomas cell,Cancer cell,Bone,high-throughput,Single-agent screening,Small molecule inhibition of lysine-specific demethylase 1 (LSD1) and histone deacetylase (HDAC) alone and in combination in Ewing sarcoma cell lines,inhibitors of both histone deacetylase (HDAC) and lysine-specific demethylase-1 (LSD1) subunits of the NuRD complex demonstrate single agent activity in preclinical models,EWSR1,
31570773,HAS2,I Marker,Breast cancer cell,Cancer cell,Breast,low-throughput,PCR;Immunohistochemistry,Isoform-specific promotion of breast cancer tumorigenicity by TBX3 involves induction of angiogenesis,Up-regulation of OPN in TBX3iso1 overexpressing breast cancer cells was associated with induction of hyaluronan synthase 2 (HAS2) expression and increased retention of hyaluronan in pericellular matrices.,SPP1;TBX3,
31580526,KRAS,I Marker,Colon carcinoma cell,Cancer cell,Colon,low-throughput,PCR;Immunohistochemistry;Weston Blot,Oncogenic Ras mutant causes the hyperactivation of NF-kB via acceleration of its transcriptional activation,K-RAS gene enhanced the transcriptional activation of NFkB,,CL_0001064
31591441,HDAC3,I Marker,Breast cancer cell,Cancer cell,Breast,low-throughput,PCR;Western blot,A novel form of Deleted in breast cancer 1 (DBC1) lacking the n-terminal domain does not bind SIRT1 and is dynamically regulated in vivo,PARP1 and SIRT1 are markers of breast cancer cells,SIRT1,
31591441,PARP1,I Marker,Breast cancer cell,Cancer cell,Breast,low-throughput,PCR;Western blot,A novel form of Deleted in breast cancer 1 (DBC1) lacking the n-terminal domain does not bind SIRT1 and is dynamically regulated in vivo,PARP1 and SIRT1 are markers of breast cancer cells,SIRT1,
31594538,MDM2,I Marker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,PCR;Western blot;Immunofluorescent staining,DNA methylation modifier LSH inhibits p53 ubiquitination and transactivates p53 to promote lipid metabolism,"The stability of p53 is mainly controlled by ubiquitin-dependent degradation, which is triggered by the E3 ubiquitin ligase MDM2",TP53,CL_0001064
31601649,KAT5,I Marker,Squamous cell carcinoma cell,Cancer cell,Skin,low-throughput,Flow cytometry,TIP60 upregulates ΔNp63α to promote cellular proliferation,TIP60 may contribute to SCC progression by increasing ΔNp63α protein levels thereby promoting cellular proliferation.,,
31605775,USP9X,I Marker,Osteosarcoma cell,Cancer cell,Bone,low-throughput,RT-PCR;Western blot;Immunofluorescent staining,Targeting USP9x/SOX2 axis contributes to the anti-osteosarcoma effect of neogambogic acid,we identify USP9X as the first deubiquitinating enzyme for controlling the stability of SOX2 and USP9x is a direct target for neogambogic acid (NGA),SOX2,
31639340,HDAC2,I Marker,Breast cancer cell,Cancer cell,Breast,low-throughput,RT-PCR;Western Blot,Valproic acid promotes the epithelial-to-mesenchymal transition of breast cancer cells through stabilization of Snail and transcriptional upregulation of Zeb1,Over expression of HDAC2 can block VPA induced expression of ZEB1,ZEB1,
31639426,MIR186,I Marker,Ewing sarcomas cell,Cancer cell,Bone,low-throughput,PCR;Western Blot;Luciferase reporter assay;SDS–PAGE;RT−PCR;qRT-PCR,Small molecule inhibition of Ewing sarcoma cell growth via targeting the long non coding RNA HULC,Downregulation of HULC upon treatment with YK-4-279 reduces the expression of TWIST1 by unleashing MIR186 and favoring its binding to TWIST1 transcripts,TWIST1,
31652636,MIR29A,I Marker,Liver cancer cell,Cancer cell,Liver,low-throughput,RT-PCR;Western Blot;Luciferase Reporter Assay;Microscopic observation,MicroRNA-29a Suppresses CD36 to Ameliorate High Fat Diet-Induced Steatohepatitis and Liver Fibrosis in Mice,"The transcription factor MIR29A induces the down-regulation of the expression of the transcription factor SNAI1, the mesenchymal marker VIM, and the pro-inflammatory markers such as IL6 and CCL2 by activating the MIR29A signaling pathway in the liver tissue.",CD36;VIM;CCL2;SNAI1;IL6,
31697837,SIK3,I Marker,Bone marrow cell,Cancer cell,Blood,low-throughput + high-throughput,Western blot;Flow-throughput cytometry;Gene knock down;ChIP-qPCR;ChIP-seq;RNA-seq;RT-qPCR;DNA-seq;Microscopic observation,Salt-inducible kinase inhibition suppresses acute myeloid leukemia progression in vivo,"SIK3 maintains MEF2C function by directly phosphorylating histone deacetylase 4 (HDAC4), a repressive cofactor of MEF2C.SIK3 as a therapeutic target in MEF2C-addicted AML ",HDAC4,
31718471,CD44,I Marker,Bladder cancer cell,Cancer cell,Bladder,low-throughput,Immunohistochemistry;Microscopic observation,"Synergic effects of cancer stem cells markers,CD44 and embryonic stem cell transcription factor Nanog, on bladder cancer prognosis",The combined prognostic significance of stem cell markers CD44 (prevalent in basal layer of urothelial carcinoma) and Nanog (embryonic stem cell transcription factor) in bladder cancer. ,NANOG,
31719531,TBC1D2B,I Marker,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Microscopic observation;Western blot;Immunofluorescent staining;qRT-PCR;DNA-seq;ChIP-seq;qPCR;RT-qPCR,ZEB1/NuRD complex suppresses TBC1D2b to stimulate E-cadherin internalization and promote metastasis in lung cancer,"TBC1D2b suppresses E-cadherin internalization, thus hindering cancer cell invasion and metastasis.",ZEB1,CL_0001064
31735168,THY1,I Marker,Ovary carcinoma cell,Cancer cell,Ovary,low-throughput,Flow-throughput cytometry;Western blot;qRT-PCR;Gene knock down;Microscopic observation,Thy-1 predicts poor prognosis and is associated with self-renewal in ovarian cancer,"THY-1 is a marker of ovarian CSCs. Increased expression of THY-1 in EOC predicts poor prognosis and is associated with increased proliferative and self-renewal capacity. THY-1 knockdown decreases proliferative and self-renewal capacity, and represents a potential therapeutic target.",MYC,CL_0001064
