PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
30244317,CD44,T Marker,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"These 3D cancer cell spheroids in the proportions of expression of CSC biomarkers (single stain of CD44, CD44v6 and CD133 or double stain of both CD44 and CD133) were significantly higher than those of the conventional adherent culture (2D) using flow cytometry analysis. ",NANOG;POU5F1;SOX2,CL_0000034
30244317,PROM1,T Marker,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"These 3D cancer cell spheroids in the proportions of expression of CSC biomarkers (single stain of CD44, CD44v6 and CD133 or double stain of both CD44 and CD133) were significantly higher than those of the conventional adherent culture (2D) using flow cytometry analysis. ",NANOG;POU5F1;SOX2,CL_0000034
30244317,CD44,T Marker,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"These 3D cancer cell spheroids in the proportions of expression of CSC biomarkers (single stain of CD44, CD44v6 and CD133 or double stain of both CD44 and CD133) were significantly higher than those of the conventional adherent culture (2D) using flow cytometry analysis.",NANOG;POU5F1;SOX2,CL_0000034
30280407,NPEPPS,T Marker,Prostate Carcinoma cell,Cancer cell,Prostate,low-throughput,Weston blot;qRT-PCR,Riluzole induces AR degradation via endoplasmic reticulum stress pathway in androgen-dependent and castration-resistant prostate cancer cells,"NPEPPS is the marker expressed in Prostate Carcinoma cell regulated by AR.Riluzole also significantly inhibited AR transcription activity by decreasing its target genes expression (PSA, TMPRSS2, and KLK2).",AR,
30280407,TMPRSS2,T Marker,Prostate Carcinoma cell,Cancer cell,Prostate,low-throughput,Weston blot;qRT-PCR,Riluzole induces AR degradation via endoplasmic reticulum stress pathway in androgen-dependent and castration-resistant prostate cancer cells,"TMPRSS2 is the marker expressed in Prostate Carcinoma cell regulated by AR.Riluzole also significantly inhibited AR transcription activity by decreasing its target genes expression (PSA, TMPRSS2, and KLK2).",AR,
30280407,KLK2,T Marker,Prostate Carcinoma cell,Cancer cell,Prostate,low-throughput,Weston blot;qRT-PCR,Riluzole induces AR degradation via endoplasmic reticulum stress pathway in androgen-dependent and castration-resistant prostate cancer cells,"KLK2 is the marker expressed in Prostate Carcinoma cell regulated by AR.Riluzole also significantly inhibited AR transcription activity by decreasing its target genes expression (PSA, TMPRSS2, and KLK2).",AR,
30284629,VIM,T Marker,Epithelium carcinoma cell,Cancer cell,Epithelium,low-throughput + high-throughput,Immunofluorescent staining;qRT-PCR;Western blot,Kaposi sarcoma-associated herpes virus (KSHV) latent protein LANA modulates cellular genes associated with epithelial-to-mesenchymal transition,LANA expression results in upregulation of the cellular intermediate flament protein vimentin and transcription factor TCF8/ZEB1 and downregulation of tight junction protein ZO1 and adhesion protein E-cadherin.,,CL_0001064
30284629,VIM,T Marker,Epithelial cell,Cancer cell,Epithelium,low-throughput + high-throughput,Immunofluorescent staining;qRT-PCR;Western blot,Kaposi sarcoma-associated herpes virus (KSHV) latent protein LANA modulates cellular genes associated with epithelial-to-mesenchymal transition,LANA expression results in upregulation of the cellular intermediate flament protein vimentin and transcription factor TCF8/ZEB1 and downregulation of tight junction protein ZO1 and adhesion protein E-cadherin.,,CL_0000066
30284629,CDH1,T Marker,Epithelium carcinoma cell,Cancer cell,Epithelium,low-throughput + high-throughput,Immunofluorescent staining;qRT-PCR;Western blot,Kaposi sarcoma-associated herpes virus (KSHV) latent protein LANA modulates cellular genes associated with epithelial-to-mesenchymal transition,LANA expression results in upregulation of the cellular intermediate flament protein vimentin and transcription factor TCF8/ZEB1 and downregulation of tight junction protein ZO1 and adhesion protein E-cadherin.,,CL_0001064
30284629,CDH1,T Marker,Epithelial cell,Cancer cell,Epithelium,low-throughput + high-throughput,Immunofluorescent staining;qRT-PCR;Western blot,Kaposi sarcoma-associated herpes virus (KSHV) latent protein LANA modulates cellular genes associated with epithelial-to-mesenchymal transition,LANA expression results in upregulation of the cellular intermediate flament protein vimentin and transcription factor TCF8/ZEB1 and downregulation of tight junction protein ZO1 and adhesion protein E-cadherin.,,CL_0000066
30315845,ERAL1,T Marker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;RT-PCR;qPCR;Microscopic observation DNA-seq;;Flow-throughput cytometry;Immunofluorescent staining,Inhibition of BTF3 sensitizes luminal breast cancer cells to PI3Kα inhibition through the transcriptional regulation of Erα,Selective phosphatidylinositol 3 kinase (PI3K) inhibitors are being actively tested in clinical trials for ERα-positive (ER+) breast cancer,BTF3,CL_0000034
30315845,ESR1,T Marker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;RT-PCR;qPCR;Microscopic observation DNA-seq;;Flow-throughput cytometry;Immunofluorescent staining,Inhibition of BTF3 sensitizes luminal breast cancer cells to PI3Kα inhibition through the transcriptional regulation of Erα,"Concordantly, BTF3 expression is highly and strongly associated with ESR1 expression in multiple breast cancer cohorts. We further show that BTF3 promotes the proliferation, survival and migration of ER + breast cancer cells by modulating ESR1 expression and ERα-dependent transcription.",BTF3,CL_0000034
30341688,GPER1,T Marker,Osteosarcoma ,Cancer cell,Bone,low-throughput + high-throughput,Weston blot;qRT‑PCR;RNA-seq;Microscopic observation,G-protein-coupled estrogen receptor suppresses the migration of osteosarcoma cells via post-translational regulation of Snail,The activator of GPER (G-1) or overexpression of GPER can inhibit the migration and invasion of OS cells and downregulate mesenchymal markers.,SNAI1,
30341688,FBXL5,T Marker,Osteosarcoma ,Cancer cell,Bone,low-throughput + high-throughput,Weston blot;qRT‑PCR;RNA-seq;Microscopic observation,G-protein-coupled estrogen receptor suppresses the migration of osteosarcoma cells via post-translational regulation of Snail,Activation of GPER can suppress the migration and invasion of OS cells via FBXL5-mediated post-translational down regulation of Snail. ,SNAI1,
30343113,COX2,T Marker,Bone cell,Cancer cell,Bone,low-throughput + high-throughput,RNA-seq;Weston blot;qRT-PCR;Gene knock down;Flow-throughput cytometry;Microscopic observation,Tumor-associated macrophages promote lung metastasis and induce epithelial-mesenchymal transition in osteosarcoma by activating the COX-2/STAT3 axis,"we observed the anti-metastasis effect of COX-2 inhibition by repressing COX-2 expression, EMT-activating transcription factors and the STAT3 pathway, both in vitro and in vivo.",STAT3,CL_0000137
30343491,TRPM4,T Marker,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput,Weston blot;RT-qPCR;Gene knock down,"TRPM4 channel is involved in regulating epithelial to mesenchymal transition, migration, and invasion of prostate cancer cell lines","indirect mechanism of regulation of migration/invasion process by TRPM4 in prostate cancer cells, by inducing the expression of Snail1 gene and consequently, increasing the EMT.Transient Receptor Potential Melastatin 4 (TRPM4) is a Ca2+ -activated and voltage-dependent monovalent cation channel, which depolarizes the plasma cell membrane, thereby modulating Ca2+ influx across Ca2+ -permeable pathways. ",SNAI1,CL_0001064
30349028,SATB2,T Marker,Skin carcinoma cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;Microscopic observation;qPCR;Immunofluorescent staining,Diagnostic accuracy of a panel of immunohistochemical and molecular markers to distinguish Merkel cell carcinoma from other neuroendocrine carcinomas,"The most discriminant markers for a diagnosis of Merkel cell carcinoma were SATB2, NF expression, and Merkel cell polyomavirus DNA detection (positive likelihood ratios: 36.6, 44.4, and 28.2, respectively). ",KRT20,CL_0001064
30401477,CD44,T Marker,Cartilage cell,Cancer cell,Bone,low-throughput + high-throughput,Immunohistological;TEM;PCR;Sequencing technique,Amniotic fluid: Source of valuable mesenchymal stem cells and alternatively used as cryopreserved solution,CD44 is a marker expressed in chondrocytes,SOX9,CL_0000138
30406421,EWSR1,T Marker,Small round cell,Cancer cell,Brain,low-throughput + high-throughput,Immunohistochemistry;Microscopic observation;Survival analysis,Intracranial Ewing sarcoma with whole genome study,EWSR1(Ewing sarcoma breakpoint region 1)is the marker expressed in Small round cell regulated by FLI1,FLI1,
30406421,CD99,T Marker,Small round cell,Cancer cell,Brain,low-throughput + high-throughput,Immunohistochemistry;Microscopic observation;Survival analysis,Intracranial Ewing sarcoma with whole genome study,"Membranous CD99 immunostaining was focal,CD99 is the marker expressed in Small round cell regulated by FLI1",FLI1,
30420690,PKM,T Marker,Breast cancer cell,Cancer cell,Breast,low-throughput + high-throughput,qRT-PCR;Western blot;Co-immunoprecipitation;Luciferase assays;Sequencing technique,O-GlcNAcylation of GLI transcription factors in hyperglycemic conditions augments Hedgehog activity,"PKM2 directly affects the activity of GLI1/2 under high glucose conditions, and canceling the expression of PKM2 results in a significant decrease in the activity of GLI1/2 and the expression of drug-resistant proteins.",GLI2;GLI1,
30426155,UCA1,T Marker,Osteosarcoma cell,Cancer cell,Bone,low-throughput,Double immunohistochemistry staining;qRT-PCR;Weston blot,Macrophage-derived CCL18 promotes osteosarcoma proliferation and migration by upregulating the expression of UCA1,"LncRNA UCA1 promotes OS cell proliferation, apoptosis, migration, and invasion and can serve as a poor prognostic marker of OS",,
30426155,UCA1,T Marker,Osteocyte cell,Cancer cell,Bone,low-throughput,Double immunohistochemistry staining;qRT-PCR;Weston blot,Macrophage-derived CCL18 promotes osteosarcoma proliferation and migration by upregulating the expression of UCA1,"LncRNA UCA1 promotes OS cell proliferation, apoptosis, migration, and invasion and can serve as a poor prognostic marker of OS",,CL_0000137
30446717,BCL6,T Marker,Lymphoid cell,Cancer cell,Lymph,low-throughput,Western blot;Flow cytometry;Immunohistochemistry;Microscopic observation,MEF2B is a member of the BCL6 gene transcriptional complex and induces its expression in diffuse large B-cell lymphoma of the germinal center B-cell-like type,BCL6 is a Marker in B-cell lymphoma cell,MEF2B,CL_0000542
30446717,BCL6,T Marker,Lymphoid cell,Cancer cell,Lymph,low-throughput,Western blot;Flow cytometry;Immunohistochemistry;Microscopic observation,MEF2B is a member of the BCL6 gene transcriptional complex and induces its expression in diffuse large B-cell lymphoma of the germinal center B-cell-like type,BCL6 is a Marker in B-cell lymphoma cell,MEF2B,CL_0001065
30446717,MME,T Marker,Lymphoid cell,Cancer cell,Lymph,low-throughput,Western blot;Flow cytometry;Immunohistochemistry;Microscopic observation,MEF2B is a member of the BCL6 gene transcriptional complex and induces its expression in diffuse large B-cell lymphoma of the germinal center B-cell-like type,CD10 is a Marker in B-cell lymphoma cell,MEF2B,CL_0000542
30446717,MME,T Marker,Lymphoid cell,Cancer cell,Lymph,low-throughput,Western blot;Flow cytometry;Immunohistochemistry;Microscopic observation,MEF2B is a member of the BCL6 gene transcriptional complex and induces its expression in diffuse large B-cell lymphoma of the germinal center B-cell-like type,CD10 is a Marker in B-cell lymphoma cell,MEF2B,CL_0001065
30451989,CDK7,T Marker,Colorectal cancer cell,Cancer cell,Colon,low-throughput,Western blot;Microscopic observation;qRT-PCR,Targeting CDK7 increases the stability of Snail to promote the dissemination of colorectal cancer,"CDK7 inhibits the expression of colorectal cancer cell, and is a marker of colorectal cancer cell",SNAI1,
30468298,DVL1,T Marker,Astrocytic brain cancer cell,Cancer cell,Brain,low-throughput,Immunohistochemistry;Western blot;Microscopic observation,"Different behaviour of DVL1, DVL2, DVL3 in astrocytoma malignancy grades and their association to TCF1 and LEF1 upregulation","DVL1 is a Marker regulated by transcription factor LEF1,HNF1A in Astrocytic brain cancer cell and DVL1 and DVL2 may be involved during early stages of the disease.",LEF1;HNF1A,
30468298,DVL2,T Marker,Astrocytic brain cancer cell,Cancer cell,Brain,low-throughput,Immunohistochemistry;Western blot;Microscopic observation,"Different behaviour of DVL1, DVL2, DVL3 in astrocytoma malignancy grades and their association to TCF1 and LEF1 upregulation","DVL2 is a Marker regulated by transcription factor LEF1,HNF1A in Astrocytic brain cancer cell and DVL1 and DVL2 may be involved during early stages of the disease.",LEF1;HNF1A,
30468298,DVL3,T Marker,Astrocytic brain cancer cell,Cancer cell,Brain,low-throughput,Immunohistochemistry;Western blot;Microscopic observation,"Different behaviour of DVL1, DVL2, DVL3 in astrocytoma malignancy grades and their association to TCF1 and LEF1 upregulation","DVL3 is a Marker regulated by transcription factor LEF1,HNF1A in Astrocytic brain cancer cell and DVL3 may have a role in later phases and together with TCF1 and LEF1 promotes the activation of Wnt signalling.",LEF1;HNF1A,
30472377,IL4R,T Marker,Renal cell carcinoma cell,Cancer cell,Kidney,low-throughput + high-throughput,qPCR;Sequencing technique;RT-PCR,Polymorphism rs4787951 in IL-4R contributes to the increased risk of renal cell carcinoma in a Chinese population,IL-4R is a Marker in Renal cell carcinoma cell,,
30472377,IL13,T Marker,Renal cell carcinoma cell,Cancer cell,Kidney,low-throughput + high-throughput,qPCR;Sequencing technique;RT-PCR,Polymorphism rs4787951 in IL-4R contributes to the increased risk of renal cell carcinoma in a Chinese population,IL-13 is a Marker in Renal cell carcinoma cell,,
30472377,IL4,T Marker,Renal cell carcinoma cell,Cancer cell,Kidney,low-throughput + high-throughput,qPCR;Sequencing technique;RT-PCR,Polymorphism rs4787951 in IL-4R contributes to the increased risk of renal cell carcinoma in a Chinese population,IL-4 is a Marker in Renal cell carcinoma cell,,
30474248,NEK10,T Marker,Cutaneous squamous cell carcinoma cell,Cancer cell,Skin,low-throughput,qRT-PCR;Immunohistochemistry;Western blot;Flow cytometry,Transcriptome and cytogenetic profiling analysis of matched in situ/invasive cutaneous squamous cell carcinomas from immunocompetent patients,"NEK10 is a Marker regulated by transcription factor BNC1,FOSL1 in Cutaneous squamous cell carcinoma cell.",BNC1;FOSL1,
30474833,IL4,T Marker,T cell,Cancer cell,Nerve,low-throughput + high-throughput,qRT-PCR;Sequencing technique,"Assessment of immunological profile in ankylosing spondylitis patients following a clinical trial with guluronic acid (G2013), as a new NSAID with immunomodulatory properties","IL-4 is the marker expressed in nerve T cell regulated by TBX21,GATA3,AHR,FOXP3.",AHR;FOXP3;TBX21;GATA3,CL_0000084
30474833,IL17A,T Marker,T cell,Cancer cell,Nerve,low-throughput + high-throughput,qRT-PCR;Sequencing technique,"Assessment of immunological profile in ankylosing spondylitis patients following a clinical trial with guluronic acid (G2013), as a new NSAID with immunomodulatory properties","IL-17A is the marker expressed in nerve T cell regulated by TBX21,GATA3,AHR,FOXP3.",AHR;FOXP3;TBX21;GATA3,CL_0000084
30474833,IL22,T Marker,T cell,Cancer cell,Nerve,low-throughput + high-throughput,qRT-PCR;Sequencing technique,"Assessment of immunological profile in ankylosing spondylitis patients following a clinical trial with guluronic acid (G2013), as a new NSAID with immunomodulatory properties","IL-22 is the marker expressed in nerve T cell regulated by TBX21,GATA3,AHR,FOXP3.",AHR;FOXP3;TBX21;GATA3,CL_0000084
30474833,IL10,T Marker,T cell,Cancer cell,Nerve,low-throughput + high-throughput,qRT-PCR;Sequencing technique,"Assessment of immunological profile in ankylosing spondylitis patients following a clinical trial with guluronic acid (G2013), as a new NSAID with immunomodulatory properties",IL-10 is the marker expressed in nerve T cell regulated by TBX21.,TBX21,CL_0000084
30483746,CDH2,T Marker,Stem cell,Cancer cell,Breast,low-throughput,Western blot;Microscopic observation,Human Adipose tissue‑derived mesenchymal stem cells promote breast cancer MCF7 cell epithelial‑mesenchymal transition by cross interacting with the TGF‑β/Smad and PI3K/AKT signaling pathways,E-cadherin and N-cadherin are markers of epithelial cells in breast cancer,TGFB1,CL_0000034
30485693,PROM1,T Marker,Non-small cell lung cancer cell,Cancer cell,Lung,low-throughput + high-throughput,qRT-PCR;Western blot;Microscopic observation;Immunofluorescent staining;RNA-seq,Knockdown of long non-coding RNA linc-ITGB1 inhibits cancer stemness and epithelial-mesenchymal transition by reducing the expression of Snail in non-small cell lung cancer,CD133 is a transcription factor the affects Non-small cell lung cancer cell,PPBP,
30487124,PTCH1,T Marker,Bone marrow cell,Cancer cell,Brain,low-throughput + high-throughput,RT-qPCR;Immunohistochemistry;Immunofluorescent staining;Western blot;Sequencing technique,"A CK1α activator penetrates the brain, and shows efficacy against drug-resistant metastatic medulloblastoma",PTCH1 is a Marker in Medulloblastoma cells,GLI1,
30516195,KRT18,T Marker,Lung Carcinoma cell,Cancer cell,Lung,low-throughput,Immunocytochemistry;Weston blot;RT-PCR,Diallyl disulphide suppresses the cannonical Wnt signaling pathway and reverses the fibronectininduced epithelial mesenchymal transition of A549 lung cancer cells,"In Lung Carcinoma cell,CK-18 is another epithelial marker which is an intermediate filament protein involved in the cell structure, cell signaling, and the cell cycle.",TWIST1;SNAI2;SNAI1;HNF4A,
30516195,CDH2,T Marker,Lung Carcinoma cell,Cancer cell,Lung,low-throughput,Immunocytochemistry;Weston blot;RT-PCR,Diallyl disulphide suppresses the cannonical Wnt signaling pathway and reverses the fibronectininduced epithelial mesenchymal transition of A549 lung cancer cells,"N-cadherin is a mesenchymal marker of non-small cell lung cancer regulated by SNAI1,SNAI2,HNF4A,TWIST1.",TWIST1;SNAI2;SNAI1;HNF4A,
30516195,DVL2,T Marker,Lung Carcinoma cell,Cancer cell,Lung,low-throughput,Immunocytochemistry;Weston blot;RT-PCR,Diallyl disulphide suppresses the cannonical Wnt signaling pathway and reverses the fibronectininduced epithelial mesenchymal transition of A549 lung cancer cells,"DVl2 is a Marker in Non-small cell lung cancer cell regulated by SNAI1,SNAI2,HNF4A,TWIST1.",TWIST1;SNAI2;SNAI1;HNF4A,
30516195,GSK3B,T Marker,Lung Carcinoma cell,Cancer cell,Lung,low-throughput,Immunocytochemistry;Weston blot;RT-PCR,Diallyl disulphide suppresses the cannonical Wnt signaling pathway and reverses the fibronectininduced epithelial mesenchymal transition of A549 lung cancer cells,"GSK-3β is a Marker in Non-small cell lung cancer cell regulated by SNAI1,SNAI2,HNF4A,TWIST1.",TWIST1;SNAI2;SNAI1;HNF4A,
30528300,NFKB1,T Marker,Liver cell,Cancer cell,Liver,low-throughput + high-throughput,Weston blot;Sequencing technique,NFKB1 and MANBA Confer Disease Susceptibility to Primary Biliary Cholangitis via Independent Putative Primary Functional Variants,NFKB1 is a Marker in Hepatoma cells,LEF1,CL_0000182
30528300,MANBA,T Marker,Liver cell,Cancer cell,Liver,low-throughput + high-throughput,Weston blot;Sequencing technique,NFKB1 and MANBA Confer Disease Susceptibility to Primary Biliary Cholangitis via Independent Putative Primary Functional Variants,MANBA is a Marker in Hepatoma cells,LEF1,CL_0000182
30530168,PGLYRP3,T Marker,Colon Carcinoma cell,Cancer cell,Colon,low-throughput + high-throughput,Western blot;RT-PCR;Sequencing technique,PGlyRP3 concerts with PPARγ to attenuate DSS-induced colitis in mice Ayman Hyder,"PGlyRP3 is a Marker in Colon adenocarcinoma cells.Olive oil activated the IκBα and inhibited NF-κB and cox-2 gene expressions, and p65 nuclear translocation, reflecting the involvement of the inhibition of NF-κB signaling pathway in the anti-inflammatory olive oil - PPARγ - PGlyRP3 access.",,
30530168,PGLYRP3,T Marker,Colon adenocarcinoma cell,Cancer cell,Colon,low-throughput + high-throughput,Western blot;RT-PCR;Sequencing technique,PGlyRP3 concerts with PPARγ to attenuate DSS-induced colitis in mice Ayman Hyder,"PGlyRP3 is a Marker in Colon adenocarcinoma cells.Olive oil activated the IκBα and inhibited NF-κB and cox-2 gene expressions, and p65 nuclear translocation, reflecting the involvement of the inhibition of NF-κB signaling pathway in the anti-inflammatory olive oil - PPARγ - PGlyRP3 access.",,
30530749,SOX11,T Marker,Lymphoid cell,Cancer cell,Lymph,low-throughput + high-throughput,PCR;Weston blot;ChIP-seq,Regulation of SOX11 expression through CCND1 and STAT3 in mantle cell lymphoma,The neurotranscription factor SOX11 is usually highly expressed in typical mantle cell lymphoma (MCL) and is an important diagnostic marker for this hard-to-treat malignancy,STAT3;CCND1,CL_0000542
30530749,SOX11,T Marker,Lymphoid cell,Cancer cell,Lymph,low-throughput + high-throughput,PCR;Weston blot;ChIP-seq,Regulation of SOX11 expression through CCND1 and STAT3 in mantle cell lymphoma,The neurotranscription factor SOX11 is usually highly expressed in typical mantle cell lymphoma (MCL) and is an important diagnostic marker for this hard-to-treat malignancy,STAT3;CCND1,CL_0001065
30531838,RAD51,T Marker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;Immunofluorescent staining;Survival analysis;Sequencing technique;Microscopic observation,ATM-dependent activation of SIM2s regulates homologous recombination and epithelial–mesenchymal transition,RAD51 is a Marker in Breast cancer cell,BRCA1,CL_0000034
30532072,S100A3,T Marker,Stem cell,Cancer cell,Breast,low-throughput,Weston blot;Immunofluorescent staining,S100A3 a partner protein regulating the stability/activity of RARα and PML-RARα in cellular models of breast/lung cancer and acute myeloid leukemia,"S100A3 regulates the expression of RARα and PML-RARα in breast cancer, lung cancer and acute myeloid leukemia",RARA,CL_0000034
30543152,RNF41,T Marker,Thyroid carcinoma cell,Cancer cell,Thyroid,low-throughput + high-throughput,PCR;Sequencing technique;Western blot;Immunohistochemistry,TBX1 Functions as a Tumor Suppressor in Thyroid Cancer Through Inhibiting the Activities of the PI3K/AKT and MAPK/ERK Pathways,"Mechanistically, TBX1 exerts its tumor suppressor function in thyroid cancer cells through inhibiting phosphorylation of AKT at Ser473 and ERK via regulating its downstream targets such as RNF41, PARK2, and PHLPP2.",TBX1,CL_0001064
30543152,PRKN,T Marker,Thyroid carcinoma cell,Cancer cell,Thyroid,low-throughput + high-throughput,PCR;Sequencing technique;Western blot;Immunohistochemistry,TBX1 Functions as a Tumor Suppressor in Thyroid Cancer Through Inhibiting the Activities of the PI3K/AKT and MAPK/ERK Pathways,"Mechanistically, TBX1 exerts its tumor suppressor function in thyroid cancer cells through inhibiting phosphorylation of AKT at Ser473 and ERK via regulating its downstream targets such as RNF41, PARK2, and PHLPP2.",TBX1,CL_0001064
30543152,PHLPP2,T Marker,Thyroid carcinoma cell,Cancer cell,Thyroid,low-throughput + high-throughput,PCR;Sequencing technique;Western blot;Immunohistochemistry,TBX1 Functions as a Tumor Suppressor in Thyroid Cancer Through Inhibiting the Activities of the PI3K/AKT and MAPK/ERK Pathways,"Mechanistically, TBX1 exerts its tumor suppressor function in thyroid cancer cells through inhibiting phosphorylation of AKT at Ser473 and ERK via regulating its downstream targets such as RNF41, PARK2, and PHLPP2.",TBX1,CL_0001064
30565043,MIR21,T Marker,Stomach cancer cell,Cancer cell,Stomach,low-throughput,Flow Cytometry;Western Blot;RT-PCR,MiR-21 Participates in the PD-1/PD-L1 Pathway-Mediated Imbalance of Th18/Treg Cells in Patients After Gastric Cancer Resection,"In the in vitro experiments, the transfection of Ad-sh-PD1 ameliorated Th17/Treg cell imbalance partially by increasing the expression of miR-21.",CD274;PDCD1,
30582655,KIT,T Marker,Ovarian carcinoma cell,Cancer cell,Ovarian,low-throughput + high-throughput,Bioinformatic analysis;Weston blot;Gene knock down;Flow-throughput cytometry;RNA-seq;ChIP-PCR;Microscopic observation,"E2F6 functions as a competing endogenous RNA, and transcriptional repressor, to promote ovarian cancer stemness",MIR193A and C-KIT are markers expressed in ovarian cancer cells,E2F6,CL_0001064
30595505,PDGFRA,T Marker,Nerve cell,Cancer cell,Brain,low-throughput + high-throughput,Microscopic observation;Immunohistochemistry;Western blot;Sequencing technique;PCR,Histone H3.3 K27M Accelerates Spontaneous Brainstem Glioma and Drives Restricted Changes in Bivalent Gene Expression,Neonatal induction of H3.3 K27M cooperated with activating platelet-derived growth factor receptor a (PDGFRa) mutant and Trp53 loss to accelerate development of diffuse brainstem gliomas.,TP53,CL_0002319
30604352,HSPA5,T Marker,Liver cell,Cancer cell,Uterus,low-throughput,qPCR;Western blot;Immunofluorescent staining;RT-qPCR,Targeting HPV-16 antigens to the endoplasmic reticulum induces an endoplasmic reticulum stress response,BiP and CHOP are endoplasmic reticulum stress markers,ATF4,CL_0000182
30604352,DDIT3,T Marker,Liver cell,Cancer cell,Uterus,low-throughput,qPCR;Western blot;Immunofluorescent staining;RT-qPCR,Targeting HPV-16 antigens to the endoplasmic reticulum induces an endoplasmic reticulum stress response,BiP and CHOP are endoplasmic reticulum stress markers,ATF4,CL_0000182
30609136,HIPK2,T Marker,Renal cancer cell,Cancer cell,Kidney,low-throughput,qRT-PCR;Western blot;Flow-throughput cytometry;Gene knock down,Homeodomain interacting protein kinase‐2 phosphorylates FOXM1 and promotes FOXM1‐mediated tumor growth in renal cell carcinoma,"the phosphorylation of FOXM1 by HIPK2 can promote FOXM1 transcription activity and cell proliferation in RCC, thus, indicating a potential mechanism for the treatment of human RCC in the future.",FOXM1,
30627897,LAMA4,T Marker,Colorectal cancer cell,Cancer cell,Colon,low-throughput,RT-PCR;Microscopic observation,Effects of Laminins 332 and 411 on the Epithelial—Mesenchymal Status of Colorectal Cancer Cells,LAMA4 is a Marker in Colorectal cancer cell,ZEB1;SNAI1,
30627897,CDH1,T Marker,Colorectal cancer cell,Cancer cell,Colon,low-throughput,RT-PCR;Microscopic observation,Effects of Laminins 332 and 411 on the Epithelial—Mesenchymal Status of Colorectal Cancer Cells,CDH1 is a Marker in Colorectal cancer cell,ZEB1;SNAI1,
30628926,PIP,T Marker,Breast carcinoma cell,Cancer cell,Breast,low-throughput,Immunohistochemistry;Microscopic observation,"SOX10, GATA3, GCDFP15, Androgen Receptor, and Mammaglobin for the Differential Diagnosis Between Triple-negative Breast Cancer and TTF1-negative Lung Adenocarcinoma",PIP in patients with triple-negative breast cancer (TNBC) for visceral metastases and other primary non-breast cancer markers,TTF1;SOX10;GATA3,CL_0001064
30648929,GLIS3,T Marker,Thyroid carcinoma cell,Cancer cell,Thyroid,low-throughput + high-throughput,RNA-Seq;RT-PCR;Immunohistochemistry;Immunofluorescent staining;Microscopic observation,GLIS Rearrangement is a Genomic Hallmark of Hyalinizing Trabecular Tumor of the Thyroid Gland,GLIS3 and GLIS1 proteins are markers expressed in thyroid cancer cells,PAX8,CL_0001064
30648929,GLIS1,T Marker,Thyroid carcinoma cell,Cancer cell,Thyroid,low-throughput + high-throughput,RNA-Seq;RT-PCR;Immunohistochemistry;Immunofluorescent staining;Microscopic observation,GLIS Rearrangement is a Genomic Hallmark of Hyalinizing Trabecular Tumor of the Thyroid Gland,GLIS3 and GLIS1 proteins are markers expressed in thyroid cancer cells,PAX8,CL_0001064
30654452,PPIG,T Marker,Liver carcinoma cell,Cancer cell,Liver,low-throughput,RT-PCR;qRT-PCR;Gene knock down,Epigenetic Modifications of the Liver Tumor Cell Line HepG2 Increase Their Drug Metabolic Capacity,"CYP is an enzyme that plays a role in drug metabolism in the treatment of human liver cancer, and its expression is regulated by transcription factors SNAI1 and HNF4A",SNAI1;HNF4A,CL_0001064
30658502,CD44,T Marker,Colon carcinoma cell,Cancer cell,Colon,low-throughput + high-throughput,RNA-Seq;qRT–PCR;Western blot,Identification of Prognostic Biomarker Signatures and Candidate Drugs in Colorectal Cancer: Insights from Systems Biology Analysis,ETS1 and CD44 might be useful in future studies indenting the development of accurate diagnostic and/or prognostic biomarker screens and efficient therapeutic strategies in CRC.,ETS1,CL_0001064
30668360,ATM,T Marker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,qPCR;RT-PCR;qRT-PCR;Western blot;Flow-throughput cytometry;Immunofluorescent staining;Immunohistochemistry;Microscopic observation,"Phytochemical Naphtho[1,2-b] furan-4,5-dione Induced Topoisomerase II-mediated DNA Damage Response in Human Non-small-Cell Lung Cancer","ATM, ATR, CHK1 and CHK2 are markers of apoptosis in non-small cell lung cancer cells",,CL_0001064
