PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
22766796,TWIST1,TFMarker,Tumour cell,Cancer cell,Bone,low-throughput,Immunohistochemistry;Microscopic observation,Regulators of skeletal development: a cluster analysis of 206 bone tumors reveals diagnostically useful markers,"The molecules Indian hedgehog (IHH), SP7 (also known as osterix), sex-determining region Y-box 9 (SOX9),runt-related transcription factor 2 (RUNX2) and TWIST1 regulate the normal differentiation of osteo- and chondrogenic cells from precursors during skeletal development and remodeling.",IHH;SOX9;SP7;RUNX2,
23092806,LGR5,TFMarker,Embryonic cell,Cancer cell,Ovary,low-throughput,Microscopic observation;Western blot,Localization of the stem cell markers LGR5 and Nanog in the normal and the cancerous human ovary and their inter-relationship ,Expression of Nanog and LGR5 in normal ovaries and in borderline tumors may assist in the early detection and improved prognosis of ovarian cancer. ,NANOG,
23092806,NANOG,TFMarker,Embryonic cell,Cancer cell,Ovary,low-throughput,Microscopic observation;Western blot,Localization of the stem cell markers LGR5 and Nanog in the normal and the cancerous human ovary and their inter-relationship ,Expression of Nanog and LGR5 in normal ovaries and in borderline tumors may assist in the early detection and improved prognosis of ovarian cancer. ,LGR5,
23242618,STAT1,TFMarker,Triple negative breast cancer cell,Cancer cell,Breast,low-throughput + high-throughput,Immunohistochemistry;Tissue microarray;Fluorescent in situ hybridization;Sequencing technique,Differential expression of immune-related markers in breast cancer by molecular phenotypes,"To conclude, the immune-related molecules, STAT1, IFN-γ, IL-8, and CD20 are differentially expressed and define particular molecular subtypes which correlate with genetically defined types of tumors.",MS4A1;CXCL8,
23242618,CXCL8,TFMarker,Triple negative breast cancer cell,Cancer cell,Breast,low-throughput + high-throughput,Immunohistochemistry;Tissue microarray;Fluorescent in situ hybridization;Sequencing technique,Differential expression of immune-related markers in breast cancer by molecular phenotypes,"To conclude, the immune-related molecules, STAT1, IFN-γ, CXCL8, and CD20 are differentially expressed and define particular molecular subtypes which correlate with genetically defined types of tumors.",MS4A1;STAT1,
23343953,POU5F1,TFMarker,Germ cell,Cancer cell,Testis,low-throughput,Immunohistochemistry;Microscopic observation;Immunofluorescent staining,"Identification and characterization of 2 testicular germ cell markers, Glut3 and CyclinA2",The addition of OCT3/4 and SALL4 has increased sensitivity for immunohistochemical detection of germ cell tumors.,SALL4,CL_0000586
23343953,POU5F1,TFMarker,Germ cell,Cancer cell,Testis,low-throughput,Immunohistochemistry;Microscopic observation;Immunofluorescent staining,"Identification and characterization of 2 testicular germ cell markers, Glut3 and CyclinA2",The addition of OCT3/4 and SALL4 has increased sensitivity for immunohistochemical detection of germ cell tumors.,SALL4,CL_0000670
23378341,FOXO3,TFMarker,Nerve cell,Cancer cell,Nerve,low-throughput,Western blot,FOXO3a Is a Major Target of Inactivation by PI3K/AKTSignaling in Aggressive Neuroblastoma,The forkhead transcription factor FOXO3A as a key target of the PI3K/AKT pathway in neuroblastoma.,,CL_0002319
23640976,NKX31,TFMarker,Prostate cancer cell ,Cancer cell,Prostate,low-throughput + high-throughput,Immunofluorescent staining;Immunohistochemistry,"4FISH-IF, a four-color dual-gene FISH combined with p63 immunofluorescence to evaluate NKX3.1 and MYC status in prostate cancer ",NKX3.1 allelic loss and MYC amplification are common events during prostate cancer progression and have been recognized as potential prognostic factors in prostate cancer after radical prostatectomy or precision radiotherapy. ,TP63,
23645533,CDH5,TFMarker,Stem cell,Cancer cell,Brain,low-throughput,qRT-PCR;qPCR;Western blot;Immunohistochemistry;Flow cytometry,CDH5 is specifically activated in glioblastoma stemlike cells and contributes to vasculogenic mimicry induced by hypoxia,A proportion of glioblastoma stemlike cells (GSCs) expressing endothelial cell marker CDH5 (vascular-endothelial-cadherin or CD144) can transdifferentiate into endothelial cells and form blood vessels.,CDH5,CL_0000034
23747337,MPL,TFMarker,Stem cell,Cancer cell,Colon,low-throughput + high-throughput,Immunofluorescent staining;Microscopic observation;Flow-throughput cytometry;Western blot;qPCR,Isolation and phenotypic characterization of colorectal cancer stem cells with organ-specific metastatic potential ,We isolated MCSCs from primary human CRCs and found that the CD110(+) and CDCP1(+) subpopulations mediate organ-specific metastasis.,,CL_0000034
23768049,MUC1,TFMarker,Epithelial cell,Cancer cell,Breast,low-throughput,Flow-throughput cytometry;Immunohistochemistry;Microscopic observation,Profiling of normal and malignant breast tissue show CD44high/CD24low phenotype as a predominant stem/progenitor marker when used in combination with Ep-CAM/CD50f markers,The previously described luminal phenotype of cancer cells based on strong correlative evidence showing breast cancer cells express luminal markers such as MUC-1.,EPCAM,CL_0000066
23975372,ATF4,TFMarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Western blot;Microscopic observation;Immunofluorescent staining;Immunohistochemistry,"Expression of a phosphorylated form of ATF4 in lung
and non-small cell lung cancer tissues","p-ATF4 (ser 245), a phosphorylated form of ATF4 protein at serine 245 site, was believed to be an active type of this protein.",SNAI1,CL_0001064
23977008,PTTG1,TFMarker,Bone marrow cell,Cancer cell,Bone marrow,low-throughput + high-throughput,qRT-PCR;Western blot;Flow cytometr;DNA sequencing,"Down-Regulation of the Oncogene PTTG1 via the KLF6
Tumor Suppressor during Induction of Myeloid
Differentiation",We found that PTTG1 is down-regulated at the transcriptional level in PMA-treated HL-60 and THP1 cells.,KLF6,
23978330,KIT,TFMarker,Stem cell,Cancer cell,Pancreas,low-throughput,Microscopic observation,Modulation of c-kit expression in pancreatic adenocarcinoma: a novel stem cell marker responsible for the progression of the disease,"We have investigated the appearance of c-KIT, a stem cell marker, in both normal adult pancreatic tissue and in cancerous tissue.",KRAS,CL_0000034
23978330,KRAS,TFMarker,Stem cell,Cancer cell,Pancreas,low-throughput,Microscopic observation,Modulation of c-kit expression in pancreatic adenocarcinoma: a novel stem cell marker responsible for the progression of the disease,The use of specific drugs that can attenuate the kinase activity of c-KIT or target KRAS expressing cancer cells should be tested in order to attenuate the progression of this lethal disease.,KIT,CL_0000034
23994263,CYP1A1,TFMarker,Stem cell,Cancer cell,Breast,low-throughput,Western blot;RT-PCR;qRT-PCR;Flow cytometry,"Benzo[a]pyrene sensitizes MCF7 breast cancer cells to induction of G1 arrest by the natural flavonoid eupatorin-5-methyl ether, via activation of cell signaling proteins and CYP1-mediated metabolism","Induction of cytochrome P450 CYP1 expression by E5M was accompanied by translocation of the ligand activated transcription factor AHR to the nucleus, as demonstrated by confocal immunofluoresence",AHR,CL_0000034
23995784,EWSR1,TFMarker,Ewing sarcomas cell,Cancer cell,Bone,low-throughput + high-throughput,Weston blot;Sequencing technique;Gene knock down;Immunofluorescent staining;Immunoblot analysis;Flow cytometric;Chromatin immunoprecipitation assay,Suppression of FOXO1 is responsible for a growth regulatory repressive transcriptional sub-signature of EWS-FLI1 in Ewing sarcoma,Suppression of FOXO1 is responsible for a growth regulatory repressive transcriptional sub-signature of EWSR1 in Ewing sarcoma.,FOXO1,
24004449,FOXM1,TFMarker,Gastric cell,Cancer cell,Stomach,low-throughput,Immunohistochemistry;Weston blot;MTT assay;Semi-quantitative RT-PCR;Microscopic observation,Forkhead box transcription factor 1 expression in gastric cancer: FOXM1 is a poor prognostic factor and mediates resistance to docetaxel,"FOXM1 can be a useful marker for predicting patients’ prognosis and monitoring docetaxel response, and might be a new therapeutic target in docetaxel resistant gastric cancer.",,
24004452,TWIST1,TFMarker,Epithelial cell,Cancer cell,Epithelium,low-throughput + high-throughput,Immunofluorescent staining;Microscopic observation;Weston blot;siRNA and transfection;Confocal microscopy,Systems analysis reveals a transcriptional reversal of the mesenchymal phenotype induced by SNAIL-inhibitor GN-25,"The expression signatures were validated at the protein level (down-regulation of mesenchymal markers such as TWIST1 and TWIST2 that was concurrent with up-regulation of epithelial marker E-Cadherin), and RNAi studies validated SNAIL dependent mechanism of action of the drug.",TWIST2,CL_0000066
24004452,TWIST2,TFMarker,Epithelial cell,Cancer cell,Epithelium,low-throughput + high-throughput,Immunofluorescent staining;Microscopic observation;Weston blot;siRNA and transfection;Confocal microscopy,Systems analysis reveals a transcriptional reversal of the mesenchymal phenotype induced by SNAIL-inhibitor GN-25,"The expression signatures were validated at the protein level (down-regulation of mesenchymal markers such as TWIST1 and TWIST2 that was concurrent with up-regulation of epithelial marker E-Cadherin), and RNAi studies validated SNAIL dependent mechanism of action of the drug.",TWIST1,CL_0000066
24006255,RAB4B,TFMarker,Epithelial cell,Cancer cell,Embryo,low-throughput,Western blot;Microscopic observation;Immunofluorescent staining,Rab4b controls an early endosome sorting event by interacting with the γ-subunit of the clathrin adaptor complex 1,We thus proposed that the interaction between early endocytic RAB4B and AP1γ could allow the budding of clathrin-coated vesicles for subsequent traffic to recycling endosomes.,,CL_0000066
24012533,CXCR4,TFMarker,Renal cell,Cancer cell,Kidney,low-throughput,qPCR;RT-PCR,Expression and prognostic significance of a comprehensive epithelial-mesenchymal transition gene set in renal cell carcinoma,Multivariate analyses revealed that CXCR4 and VIM up-regulation representsan independent prognostic marker for poor cancer specific survival in patientswith renal cell carcinoma.,CDH2,
24012670,DDIT3,TFMarker,Muscle cell,Cancer cell,Ventricular,low-throughput + high-throughput, Western blot;TUNEL assay,Calumenin has a role in the alleviation of ER stress in neonatal rat cardiomyocytes,"Upon 7.5-fold overexpres- sion of calumenin using a recombinant adenovirus system, the expression levels of ERS markers (GRP78, p-PERK, and p-elF2 a ) and ER-initiated apoptosis markers (CHOP and p-JNK) were reduced, whereas the survival protein BCL-2 was upregulated during ERS compared to the control.",HSPA5;EIF2AK3,CL_0000187
24012678,SOX7,TFMarker,Stem cell,Cancer cell,Breast,low-throughput,RT-qPCR;Weston blot,The Regulation of SOX7 and Its Tumor Suppressive Role in Breast Cancer,SOX7 expression is likely regulated by multiple mechanisms and potentially serves as a prognostic marker for breast cancer patients.,,CL_0000034
24037524,ASCL1,TFMarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Immunohistochemical;Microscopic observation;Weston blot;Survival analysis,ASCL1 and RET expression defines a clinically relevant subgroup of lung adenocarcinoma characterized by neuroendocrine differentiation,ASCL1 and RET are important transcriptional regulatory factors in the development of lung neuroendocrine (NE) cells in lung adenocarcinoma,RET,CL_0001064
24037524,RET,TFMarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Immunohistochemical;Microscopic observation;Weston blot;Survival analysis,ASCL1 and RET expression defines a clinically relevant subgroup of lung adenocarcinoma characterized by neuroendocrine differentiation,ASCL1 and RET are important transcriptional regulatory factors in the development of lung neuroendocrine (NE) cells in lung adenocarcinoma,ASCL1,CL_0001064
24072183,ERG,TFMarker,Epithelioid sarcoma cell,Cancer cell,Epithelium,low-throughput,Immunohistochemistry;Microscopic observation,ERG and FLI1 protein expression in epithelioid sarcoma,"ERG is a transcription factor expressed in Epithelioid sarcoma cell.ERG antibody selection is also critical, as those directed against the C-terminus are less likely to label epithelioid sarcoma.",FLI1,
24072183,FLI1,TFMarker,Epithelioid sarcoma cell,Cancer cell,Epithelium,low-throughput,Immunohistochemistry;Microscopic observation,ERG and FLI1 protein expression in epithelioid sarcoma,"FLI1 is a transcription factor expressed in Epithelioid sarcoma cell.ERG antibody selection is also critical, as those directed against the C-terminus are less likely to label epithelioid sarcoma.",ERG,
24113349,TWIST1,TFMarker,Epithelial cell,Cancer cell,Breast,low-throughput,qRT-PCR;Immunofluorescent staining;Immunohistochemistry;Weston blot;Microscopic observation,LncRNA expression signatures of twist-induced epithelial-to-mesenchymal transition in MCF10A cells,TWIST1 is one of the key transcription factors for EMT and relates to tumor cell migration.,TGFB1;MTOR,CL_0000066
24135225,REST,TFMarker,Prostate cancer cell,Cancer cell,Prostate,low-throughput + high-throughput,RT-PCR;Immunofluorescent staining;Microscopic observation;Weston blot;RNA-seq,Down-regulation of RE-1 silencing transcription factor (REST) in advanced prostate cancer by hypoxia-induced miR-106b-25,Transcription factors REST and MIR-106B-25 interact in prostate cancer cells to regulate the progression of prostate cancer,,
24149370,ITGB4,TFMarker,Colorectal cancer cell,Cancer cell,Colon,low-throughput,Western blot;Immunofluorescent staining;qPCR,Epigenetic regulation of miR-21 in colorectal cancer,"ITGB4 is a transcription factor expressed in Colorectal cancer cell.Along with ITGβ4 and PDCD4 expression, could be exploited as a prognostic tool for CRC metastasis.",MIR21,
24157940,MAFA,TFMarker,Islet cell,Cancer cell,Pancreas,low-throughput,Western blot;Gene knock down;RT-qPCR;Microscopic observation,Altered MENIN expression disrupts the MAFA differentiation pathway in insulinoma,Altered MENIN expression disrupts the MAFA differentiation pathway in insulinoma .Immunohistochemical analysis of a series of human insulinomas revealed a correlated decrease in both MENIN and MAFA.,,
24161694,GABPA,TFMarker,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Immunofluorescent staining;Western blot,Quercetin modulates OTA-induced oxidative stress and redox signalling in HepG2 cells — up regulation of Nrf2 expression and down regulation of NF-κB and COX-2,"OTA-induced calcium release, ROS generation and activated NF-κB nuclear translocation and expression.Pre-treatment with quercetin ameliorated ROS and calcium release as well as NF-κB induction and expression. Quercetin induced Nrf-2 nuclear translocation and expression.",,CL_0001064
24162662,SNAI1,TFMarker,Stem cell,Cancer cell,Skin,low-throughput,qPCR;Immunohistochemistry; Microscopic observation,"Epidermal Snail expression drives skin cancer initiation and progression through enhanced cytoprotection, epidermal stem/progenitor cell expansion and enhanced metastatic potential","Our data demonstrate that invivo expression ofSnailresultsinde novo epithelial carcinogenesis by allowing enhanced survival, expansion of the cancer stem cell pool with accumulated DNA damage, a block in terminal differentiation and increased proliferation rates of tumour-initiating cells.",PRDM1,CL_0000034
24173109,SNAI1,TFMarker,Liver Carcinoma cell,Cancer cell,Liver,low-throughput,Immunohistochemistry;Western blot;Microscopic observation,Serum response factor induces epithelial to mesenchymal transition with resistance to sorafenib in hepatocellular carcinoma,"SNAI1 is a transcription factor expressed in Liver Carcinoma cellOverexpression of SRF in HLE cells led to increased expression of mesenchymal markers, as well as Expression of SRF and Snail were detected in 37.6% (55 of 146 cases) and in 12.3% (18 of 146 cases) of the HCCs, respectively. None of the tumor-free liver tissues showed SRF or Snail expression.",SRF,
24192202,FOXL2,TFMarker,Granulosa cell,Cancer cell,Ovary,low-throughput,Immunohistochemistry;Microscopic observation,A current perspective on the pathological assessment of FOXL2 in adult-type granulosa cell tumours of the ovary ,"In cases where a diagnosis of aGCT is a consideration and unequivocal diagnosis is not possible based on morphology and routine immunostains, FOXL2 mutation testing can help to confirm the diagnosis. ",,CL_0000501
24193512,TWIST2,TFMarker,Liver carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,Western blot;Immunohistochemistry;Immunofluorescent staining;Microscopic observation;Flow cytometry,Twist2 promotes self-renewal of liver cancer stem-like cells by regulating CD24,"We show that ectopic expression of TWIST2 induces epithelial-mesenchymal transition phenotypes, augments cell migration and invasion and colony-forming abilities in human HCC cells in vitro, and promotes tumor growth in vivo",FOXO3,CL_0001064
24194752,GLI1,TFMarker,Liver Carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,Immunohistochemistry;Flow-throughput cytometry;Western blot;RT-PCR;Microscopic observation,Hedgehog signaling pathway affects the sensitivity of hepatoma cells to drug therapy through the ABCC1 transporter,GLI1 is the marker expressed in Liver Carcinoma cell regulated by ABCC1.,ABCC1,
24194920,KRT7,TFMarker,Fibroblast cell,Cancer cell,Pancreas,low-throughput,Immunofluorescence staining;qRT-PCR;Immunohistochemistry;Microscopic observation,Overexpression of COL11A1 by cancer-associated fibroblasts: clinical relevance of a stromal marker in pancreatic cancer,"The samples were incubated with the antiproCOl11A1 mAb, (DMTX1, Oncomatrix) with Cytokeratin 7 (CK7) antibody and VIM antibody, to room temperature..",COL11A1,CL_0000057
24207093,TTF1,TFMarker,Lung Carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Microscopic observation;Flow cytometry,Role of thyroid transcription factor-1 and P63 immunocytochemistry in cytologic typing of non-small cell lung carcinomas,"TTF1 is a transcription factor expressed in Lung Carcinoma cell.TTF-1 achieved moderate sensitivity, and high specificity in the diagnosis of AC, while P63 was highly sensitive and specific for the diagnosis of SCC. Immunocytochemistry raised the sensitivity and specificity of FNAC in diagnosing AC and SCC using TTF-1 and P63, respectively.",TP63,
24207099,TP53,TFMarker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Western blot;Flow cytometry,Cytochrome P450 2E1 (CYP2E1) regulates the response to oxidative stress and migration of breast cancer cells,"Ectopic expression of CYP2E1 induced ROS generation, affected autophagy, stimulated endoplasmic reticulum stress and inhibited migration in breast cancer cells with different metastatic potential and P53 status",CYP2E1,CL_0000034
24215168,MPO,TFMarker,Leucocytes cell,Cancer cell,Immune,low-throughput + high-throughput,qPCR;Flow cytometry,A myelopoiesis gene signature during remission in anti-neutrophil cytoplasm antibody-associated vasculitis does not predict relapses but seems to reflect ongoing prednisolone therapy,Increased expression of MPO and PR3 in leukocytes in patients with antineutrophil cytoplasmic antibody associated vasculitis (AAV),PRTN3,
24215168,PRTN3,TFMarker,Leucocytes cell,Cancer cell,Immune,low-throughput + high-throughput,qPCR;Flow cytometry,A myelopoiesis gene signature during remission in anti-neutrophil cytoplasm antibody-associated vasculitis does not predict relapses but seems to reflect ongoing prednisolone therapy,Increased expression of MPO and PR3 in leukocytes in patients with antineutrophil cytoplasmic antibody associated vasculitis (AAV),MPO,
24292671,CDH1,TFMarker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Western blot;Microscopic observation;RNA-seq;qRT-PCR;Flow cytometry,An in vivo RNAi screen identifies SALL1 as a tumor suppressor in human breast cancer with a role in CDH1 regulation,CDH1 is an important factor in TO interstitial transformation of epithelial cells.,SALL1,CL_0000034
24320714,POU5F1,TFMarker,Neuroblastoma cell,Cancer cell,Nerve,low-throughput,Immunohistochemistry;;Microscopic observation;Immunofluorescent staining,Expression and prognostic significance of Oct4 and Nanog in neuroblastoma,"We investigated theexpression of Octamer-binding transcription factor 4 (OCT4) and NANOG, two stem cell markers, in 47 neuroblastictumors by immunohistochemistry.",NANOG,
24320714,NANOG,TFMarker,Neuroblastoma cell,Cancer cell,Nerve,low-throughput,Immunohistochemistry;;Microscopic observation;Immunofluorescent staining,Expression and prognostic significance of Oct4 and Nanog in neuroblastoma,"We investigated theexpression of Octamer-binding transcription factor 4 (OCT4) and NANOG, two stem cell markers, in 47 neuroblastictumors by immunohistochemistry.",POU5F1,
24324784,IKZF1,TFMarker,Hematological cell,Cancer cell,Lymph,low-throughput,qRT-PCR;;Flow cytometry,The Combined Expression Patterns of Ikaros Isoforms Characterize Different Hematological Tumor Subtypes,"However, the complex patterns of expression of isoforms in IKAROS family genes has prevented their use as clinical markers.",IKZF3,
24324784,IKZF3,TFMarker,Hematological cell,Cancer cell,Lymph,low-throughput,qRT-PCR;;Flow cytometry,The Combined Expression Patterns of Ikaros Isoforms Characterize Different Hematological Tumor Subtypes,"In the case of AIOLOS, the study on null mouse models has shown an important role as a B cell-specific tumor suppressor gene. ",IKZF1,
24329979,SOX10,TFMarker,epithelial cell,Cancer cell,Skin,low-throughput,Microscopic observation,SOX-10 expression in cutaneous myoepitheliomas and mixed tumors,"Cutaneous myoepitheliomas are notoriously difficult to diagnose, and the addition of SOX-10 to the repertoire of stains that can label this tumor is of practical utility.",MITF,
24330518,TGFB1,TFMarker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Bioinformatic analyses;Co-immunoprecipitation;Real-time Q-PCR;ChIP;Confocal microscopy,The cancer gene WWOX behaves as an inhibitor of SMAD3 transcriptional activity via direct binding,Since the TGFβ target ANGPTL4 plays a key role in lung metastasis development.,ANGPTL4,CL_0000034
24330518,ANGPTL4,TFMarker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Bioinformatic analyses;Co-immunoprecipitation;Real-time Q-PCR;ChIP;Confocal microscopy,The cancer gene WWOX behaves as an inhibitor of SMAD3 transcriptional activity via direct binding,Since the TGFβ target ANGPTL4 plays a key role in lung metastasis development.,TGFB1,CL_0000034
24332637,HNF1B,TFMarker,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput,Immunohistochemistry;RT-PCR;Microscopic observation,Expression patterns of candidate susceptibility genes HNF1β and CtBP2 in prostate cancer: Association with tumor progression,"Although its functions remain to be clarified in PCa cells, HNF1β and CTBP2 are associated with cancer cell proliferation, tumor progression,and castration-resistant disease.",CTBP2,CL_0001064
24332637,CTBP2,TFMarker,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput,Immunohistochemistry;RT-PCR;Microscopic observation,Expression patterns of candidate susceptibility genes HNF1β and CtBP2 in prostate cancer: Association with tumor progression,"Although its functions remain to be clarified in PCa cells, HNF1β and CTBP2 are associated with cancer cell proliferation, tumor progression,and castration-resistant disease.",HNF1B,CL_0001064
24356439,FOXG1,TFMarker,Glioblastoma cell,Cancer cell,Brain,low-throughput,Microscopic observation;Weston blot;Gene knock down,Transcription factors FOXG1 and Groucho/TLE promote glioblastoma growth,The transcription factor FOXG1 plays an important role in the expression of glioblastoma (GBM) cells.,,
24357161,GAS5,TFMarker,Lung Carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,qRT-PCR;Western blot;Immunofluorescent staining;Microscopic observation;small RNA-seq,A Critical Role for the Long Non-Coding RNA GAS5 in Proliferation and Apoptosis in Non-Small-Cell Lung Cancer,GAS5 could serve as a potential diagnostic marker for NSCLC and may be a novel therapeutic target in patients with NSCLC.,E2F1,
24360957,FOXO3,TFMarker,Breast carcinoma cell,Cancer cell,Breast,high-throughput,RNA sequencing;ChIP-Seq,FOXO3 Selectively Amplifies Enhancer Activity to Establish Target Gene Regulation,"Genetic variation is reported to affect these chromatin signatures in a quantitative manner, and, in agreement, we observe a correlation between cancer-associated genetic variations and the amplitude of FOXO3 enhancer binding.",,CL_0001064
24362522,E2F1,TFMarker,Stem cell,Cancer cell,Breast,low-throughput,Microscopic observation,HER2/Neu tumorigenesis and metastasis is regulated by E2F activator transcription factors,E2F1 is a transcription factor expressed in Cancer stem cell.It was observed that loss of E2F1 or E2F2 significantly reduced the metastatic capacity of the tumor and this was associated with a reduction in circulating tumor cells in the E2F2 knockout,ERBB2,CL_0000034
24366300,MLXIPL,TFMarker,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Immunohistochemistry;Gene knock down;Western blot;qRT–PCR;CHIP-seq;Bioinformatic prediction;Microscopic observation,Role of carbohydrate response element_x005f_x0002_binding protein (ChREBP) in generating an aerobic metabolic phenotype and in breast cancer progression,The lipogenic transcription factor carbohydrate response element-binding protein (ChREBP) may play a key role in malignant progression of breast cancer by allowing metabolic adaptations to take place in response to changes in oxygenation.,,CL_0000034
24392029,IL6,TFMarker,Stem cell,Cancer cell,Breast,low-throughput,RT-PCR;qPCR;Flow cytometry;Western blot;Immunofluorescent staining;Microscopic observation,Syndecan-1 (CD138) Modulates Triple-Negative Breast Cancer Stem Cell Properties via Regulation of LRP-6 and IL-6-Mediated STAT3 Signaling,The transcription factors WNT and IL-6/STAT3 regulate cancer stem cell phenotypes by activating the WNT and IL-6/STAT3 pathways,SDC1,CL_0000034
24392029,STAT3,TFMarker,Stem cell,Cancer cell,Breast,low-throughput,RT-PCR;qPCR;Flow cytometry;Western blot;Immunofluorescent staining;Microscopic observation,Syndecan-1 (CD138) Modulates Triple-Negative Breast Cancer Stem Cell Properties via Regulation of LRP-6 and IL-6-Mediated STAT3 Signaling,The transcription factors WNT and IL-6/STAT3 regulate cancer stem cell phenotypes by activating the WNT and IL-6/STAT3 pathways,SDC1,CL_0000034
24442236,BVES,TFMarker,Liver carcinoma cell,Cancer cell,Liver,low-throughput,qRT-PCR;Immunohistochemistry;Weston blot,BVES inhibition triggers epithelial-mesenchymal transition in human hepatocellular carcinoma,BVES inhibition triggers epithelial-mesenchymal transition in human hepatocellular carcinoma.,TWIST1;CDH1;VIM;SNAI1;MUC1,CL_0001064
24466310,MYC,TFMarker,B cell,Cancer cell,Lymph,low-throughput,qPCR;Western blot,Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,The transcription factor MYC and P-TEFb are highly expressed in lymphatic carcinoma cells,,CL_0000236
24486059,TP53,TFMarker,Lung Carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry,Tissue microarrays in Non-Small Cell Lung Cancer (NSCLC): Reliability of immunohistochemically-determined biomarkers.,TP53 is a transcription factor expressed in Lung Carcinoma cell.,TP63,
24486059,TP63,TFMarker,Lung Carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry,Tissue microarrays in Non-Small Cell Lung Cancer (NSCLC): Reliability of immunohistochemically-determined biomarkers.,TP63 is a transcription factor expressed in Lung Carcinoma cell.,TP53,
24489910,SOX2,TFMarker,Pancreas Cancer cell,Cancer cell,Pancreas,low-throughput,Western blot;qRT-PCR;Immunofluorescent staining;Flow cytometry;Microscopic observation;Immunohistochemistry,Snail Contributes to the Maintenance of Stem Cell-Like Phenotype Cells in Human Pancreatic Cancer,SOX2 is a transcription factor expressed in Pancreas Cancer cell.,POU5F1,
24489910,POU5F1,TFMarker,Pancreas Cancer cell,Cancer cell,Pancreas,low-throughput,Western blot;qRT-PCR;Immunofluorescent staining;Flow cytometry;Microscopic observation;Immunohistochemistry,Snail Contributes to the Maintenance of Stem Cell-Like Phenotype Cells in Human Pancreatic Cancer,POU5F1 is a transcription factor expressed in Pancreas Cancer cell.,SNAI1;SOX2,
24489910,SNAI1,TFMarker,Pancreas Cancer cell,Cancer cell,Pancreas,low-throughput,Western blot;qRT-PCR;Immunofluorescent staining;Flow cytometry;Microscopic observation;Immunohistochemistry,Snail Contributes to the Maintenance of Stem Cell-Like Phenotype Cells in Human Pancreatic Cancer,SNAI1 is a transcription factor expressed in Pancreas Cancer cell.,POU5F1;SOX2,
24493828,PAX6,TFMarker,Stem cell,Cancer cell,Nerve,low-throughput,Immunohistochemistry;Microscopic observation,High-Resolution Array CGH and Gene Expression Profiling of Alveolar Soft Part Sarcoma,"The paired box transcription factor PAX6 was upregulated in the primary tumors, along with several genes whose mouse orthologs have previously been implicated in Pax6 DNA binding during neural stem cell differentiation.",,CL_0000034
24495926,ABCC2,TFMarker,Liver Carcinoma cell,Cancer cell,Liver,low-throughput,Weston blot;Microscopic observation,An in vitro liver model consisting of endothelial vascular networks surrounded by human hepatoma cell lines allows for improved hepatitis B virus replication,ABCC2 is the marker expressed in Liver Carcinoma cell regulated by POU2F1.The expression of each gene was compared among co-cultures plated either on gelatin or on EHS gel.,POU2F1,
24495926,SLCO1B3,TFMarker,Liver Carcinoma cell,Cancer cell,Liver,low-throughput,Weston blot;Microscopic observation,An in vitro liver model consisting of endothelial vascular networks surrounded by human hepatoma cell lines allows for improved hepatitis B virus replication,SLCO1B3 is the marker expressed in Liver Carcinoma cell regulated by POU2F1.The expression of each gene was compared among co-cultures plated either on gelatin or on EHS gel.,POU2F1,
24535435,TP53,TFMarker,Stem cell,Cancer cell,Lung,low-throughput,Gene knock down;Western blot;RT-PCR,Gentian violet induces wtp53 transactivation in cancer cells,"GV-induced cell death was partly inhibited in cells deprived of p53, suggesting that the anticancer activity of GV may partly depend on p53 activation. GV is US Food and Drug Administration approved for human use and may, therefore, have therapeutic potential in the management of cancer through p53 activation.",,CL_0000034
24707153,ERG,TFMarker,Liver cell,Cancer cell,Liver,low-throughput,Immunohistochemistry;Microscopic observation,Transcription factor ERG is a specific and sensitive diagnostic marker for hepatic angiosarcoma,"ERG is a more sensitive and specific diagnostic marker for hepatic angiosarcoma in comparison to CD31, CD34 and FVIIIRAg.",CD34,CL_0000182
