Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand MGI ID,Receptor MGI ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0001097,Nid1 Itgav,Nid1,Itgav,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nid1%20Itgav-based-on-Pubmed-ID-7797588,%209686320-in-mouse","Nid1 (entactin, entactin 1, nidogen-1, entactin-1)","Itgav (vitronectin receptor alpha polypeptide  (VNRA), CD51, alphav-integrin, 1110004F14Rik, 2610028E01Rik, D430040G12Rik)",MGI:97342,MGI:96608,ENSMUSG00000005397,ENSMUSG00000027087,"NID1 (NID, entactin)","ITGAV (VNRA, MSK8, VTNR, CD51)",secreted,cell membrane
CDB15:0001098,Nid1 Itgb1,Nid1,Itgb1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nid1%20Itgb1-based-on-Pubmed-ID-1527019-in-mouse,"Nid1 (entactin, entactin 1, nidogen-1, entactin-1)","Itgb1 (CD29, beta1 integrin, 4633401G24Rik, Fnrb, Gm9863)",MGI:97342,MGI:96610,ENSMUSG00000005397,ENSMUSG00000025809,"NID1 (NID, entactin)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",secreted,cell membrane
CDB15:0001099,Nid1 Itgb3,Nid1,Itgb3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nid1%20Itgb3-based-on-Pubmed-ID-7797588,%208831898,%209686320-in-mouse","Nid1 (entactin, entactin 1, nidogen-1, entactin-1)","Itgb3 (platelet glycoprotein IIIa  (GP3A), CD61)",MGI:97342,MGI:96612,ENSMUSG00000005397,ENSMUSG00000020689,"NID1 (NID, entactin)","ITGB3 (GP3A, CD61, GPIIIa)",secreted,cell membrane
CDB15:0001100,Nid1 Ptprf,Nid1,Ptprf,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nid1%20Ptprf-based-on-Pubmed-ID-9647658-in-mouse,"Nid1 (entactin, entactin 1, nidogen-1, entactin-1)","Ptprf (LAR, RPTP-LAR)",MGI:97342,MGI:102695,ENSMUSG00000005397,ENSMUSG00000033295,"NID1 (NID, entactin)",PTPRF (LAR),secreted,cell membrane
CDB15:0001101,Nid2 Col13a1,Nid2,Col13a1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nid2%20Col13a1-based-on-Pubmed-ID-11956183-in-mouse,"Nid2 (entactin-2, entactin 2)",Col13a1,MGI:1298229,MGI:1277201,ENSMUSG00000021806,ENSMUSG00000058806,NID2,COL13A1,"secreted, cell membrane",cell membrane
CDB15:0001102,Nlgn1 Nrxn1,Nlgn1,Nrxn1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nlgn1%20Nrxn1-based-on-Pubmed-ID-14522992,%2016242404,%208576240-in-mouse","Nlgn1 (6330415N05Rik, NL1, Nlg1)","Nrxn1 (alpha-latrotoxin receptor (calcium-dependent), neurexin I beta, neurexin I alpha, neurexin I beta, neurexin I beta, neurexin I alpha, neurexin I alpha, 1700062G21Rik, A230068P09Rik, 9330127H16Rik)",MGI:2179435,MGI:1096391,ENSMUSG00000063887,ENSMUSG00000024109,"NLGN1 (KIAA1070, NLG1)","NRXN1 (KIAA0578, Hs.22998)",cell membrane,cell membrane
CDB15:0001103,Nlgn1 Nrxn2,Nlgn1,Nrxn2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nlgn1%20Nrxn2-based-on-Pubmed-ID-7736595,%208576240-in-mouse","Nlgn1 (6330415N05Rik, NL1, Nlg1)","Nrxn2 (neurexin II beta, neurexin II alpha, 6430591O13Rik)",MGI:2179435,MGI:1096362,ENSMUSG00000063887,ENSMUSG00000033768,"NLGN1 (KIAA1070, NLG1)",NRXN2,cell membrane,cell membrane
CDB15:0001104,Nlgn1 Nrxn3,Nlgn1,Nrxn3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nlgn1%20Nrxn3-based-on-Pubmed-ID-8576240-in-mouse,"Nlgn1 (6330415N05Rik, NL1, Nlg1)","Nrxn3 (neurexin III beta, neurexin III alpha, neurexin III beta, neurexin III alpha, 9330112C09Rik, D12Bwg0831e, 4933401A11Rik)",MGI:2179435,MGI:1096389,ENSMUSG00000063887,ENSMUSG00000066392,"NLGN1 (KIAA1070, NLG1)","NRXN3 (C14orf60, KIAA0743)",cell membrane,cell membrane
CDB15:0001105,Nlgn2 Nrxn1,Nlgn2,Nrxn1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nlgn2%20Nrxn1-based-on-Pubmed-ID-16242404,%2021424692,%208576240-in-mouse","Nlgn2 (NL2, NLG2)","Nrxn1 (alpha-latrotoxin receptor (calcium-dependent), neurexin I beta, neurexin I alpha, neurexin I beta, neurexin I beta, neurexin I alpha, neurexin I alpha, 1700062G21Rik, A230068P09Rik, 9330127H16Rik)",MGI:2681835,MGI:1096391,ENSMUSG00000051790,ENSMUSG00000024109,NLGN2 (KIAA1366),"NRXN1 (KIAA0578, Hs.22998)",cell membrane,cell membrane
CDB15:0001106,Nlgn2 Nrxn2,Nlgn2,Nrxn2,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nlgn2%20Nrxn2-based-on-Pubmed-ID-21424692,%208576240-in-mouse","Nlgn2 (NL2, NLG2)","Nrxn2 (neurexin II beta, neurexin II alpha, 6430591O13Rik)",MGI:2681835,MGI:1096362,ENSMUSG00000051790,ENSMUSG00000033768,NLGN2 (KIAA1366),NRXN2,cell membrane,cell membrane
CDB15:0001107,Nlgn2 Nrxn3,Nlgn2,Nrxn3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nlgn2%20Nrxn3-based-on-Pubmed-ID-8576240-in-mouse,"Nlgn2 (NL2, NLG2)","Nrxn3 (neurexin III beta, neurexin III alpha, neurexin III beta, neurexin III alpha, 9330112C09Rik, D12Bwg0831e, 4933401A11Rik)",MGI:2681835,MGI:1096389,ENSMUSG00000051790,ENSMUSG00000066392,NLGN2 (KIAA1366),"NRXN3 (C14orf60, KIAA0743)",cell membrane,cell membrane
CDB15:0001108,Nlgn3 Nrxn1,Nlgn3,Nrxn1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nlgn3%20Nrxn1-based-on-Pubmed-ID-8576240-in-mouse,"Nlgn3 (HNL3, A230085M13Rik, NL3, NLG3)","Nrxn1 (alpha-latrotoxin receptor (calcium-dependent), neurexin I beta, neurexin I alpha, neurexin I beta, neurexin I beta, neurexin I alpha, neurexin I alpha, 1700062G21Rik, A230068P09Rik, 9330127H16Rik)",MGI:2444609,MGI:1096391,ENSMUSG00000031302,ENSMUSG00000024109,"NLGN3 (HNL3, KIAA1480, ASPGX1, AUTSX1)","NRXN1 (KIAA0578, Hs.22998)",cell membrane,cell membrane
CDB15:0001109,Nlgn3 Nrxn2,Nlgn3,Nrxn2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nlgn3%20Nrxn2-based-on-Pubmed-ID-8576240-in-mouse,"Nlgn3 (HNL3, A230085M13Rik, NL3, NLG3)","Nrxn2 (neurexin II beta, neurexin II alpha, 6430591O13Rik)",MGI:2444609,MGI:1096362,ENSMUSG00000031302,ENSMUSG00000033768,"NLGN3 (HNL3, KIAA1480, ASPGX1, AUTSX1)",NRXN2,cell membrane,cell membrane
CDB15:0001110,Nlgn3 Nrxn3,Nlgn3,Nrxn3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nlgn3%20Nrxn3-based-on-Pubmed-ID-8576240-in-mouse,"Nlgn3 (HNL3, A230085M13Rik, NL3, NLG3)","Nrxn3 (neurexin III beta, neurexin III alpha, neurexin III beta, neurexin III alpha, 9330112C09Rik, D12Bwg0831e, 4933401A11Rik)",MGI:2444609,MGI:1096389,ENSMUSG00000031302,ENSMUSG00000066392,"NLGN3 (HNL3, KIAA1480, ASPGX1, AUTSX1)","NRXN3 (C14orf60, KIAA0743)",cell membrane,cell membrane
CDB15:0001111,Nmb Grpr,Nmb,Grpr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nmb%20Grpr-based-on-Pubmed-ID-1720612-in-mouse,Nmb (3110023K12Rik),"Grpr (bombesin receptor, GRP-R)",MGI:1915289,MGI:95836,ENSMUSG00000025723,ENSMUSG00000031364,"NMB (MGC2277, MGC3936, MGC17211)","GRPR (BB2, BB2R, BRS2)","secreted, cell membrane",cell membrane
CDB15:0001112,Nmb Nmbr,Nmb,Nmbr,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nmb%20Nmbr-based-on-Pubmed-ID-10454496,%207838118,%208253343,%208392057-in-mouse",Nmb (3110023K12Rik),Nmbr,MGI:1915289,MGI:1100525,ENSMUSG00000025723,ENSMUSG00000019865,"NMB (MGC2277, MGC3936, MGC17211)","NMBR (BB1, BB1R, BRS1)","secreted, cell membrane",cell membrane
CDB15:0001113,Nms Nmur1,Nms,Nmur1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nms%20Nmur1-based-on-Pubmed-ID-15635449-in-mouse,Nms,"Nmur1 (FM-3, NmU-R, NMU1R, Gpr66)",MGI:3583618,MGI:1341898,ENSMUSG00000067604,ENSMUSG00000026237,NMS,"NMUR1 (GPR66, GPC-R, FM-3, NMU1R)",secreted,cell membrane
CDB15:0001114,Nms Nmur2,Nms,Nmur2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nms%20Nmur2-based-on-Pubmed-ID-15635449-in-mouse,Nms,Nmur2,MGI:3583618,MGI:2441765,ENSMUSG00000067604,ENSMUSG00000037393,NMS,NMUR2 (NMU2R),secreted,cell membrane
CDB15:0001115,Nmu Nmur1,Nmu,Nmur1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nmu%20Nmur1-based-on-Pubmed-ID-10811630,%2010894543,%2010899166,%2015292653,%2015331768-in-mouse",Nmu,"Nmur1 (FM-3, NmU-R, NMU1R, Gpr66)",MGI:1860476,MGI:1341898,ENSMUSG00000029236,ENSMUSG00000026237,NMU,"NMUR1 (GPR66, GPC-R, FM-3, NMU1R)",secreted,cell membrane
CDB15:0001116,Nmu Nmur2,Nmu,Nmur2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nmu%20Nmur2-based-on-Pubmed-ID-10894543,%2010899166,%2015292653,%2015331768-in-mouse",Nmu,Nmur2,MGI:1860476,MGI:2441765,ENSMUSG00000029236,ENSMUSG00000037393,NMU,NMUR2 (NMU2R),secreted,cell membrane
CDB15:0001117,Nodal Acvr1b,Nodal,Acvr1b,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nodal%20Acvr1b-based-on-Pubmed-ID-11485994,%2011952836-in-mouse",Nodal (Tg.413d),"Acvr1b (ActR-IB, Acvrlk4, SKR2, ActRIB, Alk4)",MGI:97359,MGI:1338944,ENSMUSG00000037171,ENSMUSG00000000532,NODAL,"ACVR1B (ACVRLK4, ALK4, SKR2, ActRIB)",secreted,cell membrane
CDB15:0001118,Nodal Acvr1c,Nodal,Acvr1c,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nodal%20Acvr1c-based-on-Pubmed-ID-11485994,%2012606401-in-mouse",Nodal (Tg.413d),"Acvr1c (ALK7, Alk-7)",MGI:97359,MGI:2661081,ENSMUSG00000037171,ENSMUSG00000026834,NODAL,"ACVR1C (ALK7, ACVRLK7)",secreted,cell membrane
CDB15:0001119,Nodal Acvr2a,Nodal,Acvr2a,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nodal%20Acvr2a-based-on-Pubmed-ID-11952836-in-mouse,Nodal (Tg.413d),"Acvr2a (ActRIIa, tActRII, Acvr2)",MGI:97359,MGI:102806,ENSMUSG00000037171,ENSMUSG00000052155,NODAL,"ACVR2A (ACVR2, ACTRII)",secreted,cell membrane
CDB15:0001120,Nodal Acvr2b,Nodal,Acvr2b,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nodal%20Acvr2b-based-on-Pubmed-ID-11485994,%2011952836-in-mouse",Nodal (Tg.413d),Acvr2b (ActRIIB),MGI:97359,MGI:87912,ENSMUSG00000037171,ENSMUSG00000061393,NODAL,ACVR2B (ActR-IIB),secreted,cell membrane
CDB15:0001121,Ccn3 Notch1,Ccn3,Notch1,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Ccn3%20Notch1-based-on-Pubmed-ID-12050162,%2024308033-in-mouse","Ccn3 (C130088N23Rik, CCN3, Nov)","Notch1 (lin-12, Tan1, Mis6, 9930111A19Rik, Motch A, N1)",MGI:109185,MGI:97363,ENSMUSG00000037362,ENSMUSG00000026923,"CCN3 (NOV, IGFBP9)",NOTCH1 (TAN1),secreted,cell membrane
CDB15:0001122,Npb Npbwr1,Npb,Npbwr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npb%20Npbwr1-based-on-Pubmed-ID-12118011,%2012401809-in-mouse",Npb,Npbwr1 (Gpr7),MGI:2387153,MGI:891989,ENSMUSG00000044034,ENSMUSG00000033774,"NPB (PPL7, PPNPB)",NPBWR1 (GPR7),secreted,cell membrane
CDB15:0001124,Npff Npffr1,Npff,Npffr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npff%20Npffr1-based-on-Pubmed-ID-11024015,%2011481330,%2012242085,%2017011599-in-mouse",Npff,"Npffr1 (LOC237362, NPFF1, Gpr147, NPFF1R)",MGI:1891708,MGI:2685082,ENSMUSG00000023052,ENSMUSG00000020090,NPFF (FMRFAL),"NPFFR1 (GPR147, OT7T022, NPFF1R1)",secreted,cell membrane
CDB15:0001125,Npff Npffr2,Npff,Npffr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npff%20Npffr2-based-on-Pubmed-ID-10851242,%2011024015,%2011481330,%2012609745-in-mouse",Npff,"Npffr2 (NPFF2, Gpr74)",MGI:1891708,MGI:1860130,ENSMUSG00000023052,ENSMUSG00000035528,NPFF (FMRFAL),"NPFFR2 (GPR74, NPFF2, NPGPR)",secreted,cell membrane
CDB15:0001126,Npnt Itga8,Npnt,Itga8,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npnt%20Itga8-based-on-Pubmed-ID-11470831-in-mouse,"Npnt (POEM, 1110009H02Rik)",Itga8,MGI:2148811,MGI:109442,ENSMUSG00000040998,ENSMUSG00000026768,"NPNT (EGFL6L, POEM)",ITGA8,secreted,cell membrane
CDB15:0001127,Npnt Itgb1,Npnt,Itgb1,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npnt%20Itgb1-based-on-Pubmed-ID-11470831-in-mouse,"Npnt (POEM, 1110009H02Rik)","Itgb1 (CD29, beta1 integrin, 4633401G24Rik, Fnrb, Gm9863)",MGI:2148811,MGI:96610,ENSMUSG00000040998,ENSMUSG00000025809,"NPNT (EGFL6L, POEM)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",secreted,cell membrane
CDB15:0001128,Nppa Npr1,Nppa,Npr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nppa%20Npr1-based-on-Pubmed-ID-12547834,%208700153-in-mouse","Nppa (atrial natriuretic peptide, ANP, natriuretic peptide precursor A, Anf, Pnd)","Npr1 (NPRA, GC-A, NPR-A, guanylyl cyclase-A)",MGI:97367,MGI:97371,ENSMUSG00000041616,ENSMUSG00000027931,"NPPA (ANP, PND)","NPR1 (ANPRA, NPRA, GUCY2A, ANPa)",secreted,cell membrane
CDB15:0001129,Nppa Npr3,Nppa,Npr3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nppa%20Npr3-based-on-Pubmed-ID-11533490,%202169733-in-mouse","Nppa (atrial natriuretic peptide, ANP, natriuretic peptide precursor A, Anf, Pnd)","Npr3 (Nppc receptor, lgj, longjohn, NPR-C, B430320C24Rik)",MGI:97367,MGI:97373,ENSMUSG00000041616,ENSMUSG00000022206,"NPPA (ANP, PND)","NPR3 (NPRC, ANPRC, C5orf23, GUCY2B, FLJ14054)",secreted,cell membrane
CDB15:0001130,Nppb Npr1,Nppb,Npr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nppb%20Npr1-based-on-Pubmed-ID-1309330,%2039261724-in-mouse",Nppb (BNP),"Npr1 (NPRA, GC-A, NPR-A, guanylyl cyclase-A)",MGI:97368,MGI:97371,ENSMUSG00000029019,ENSMUSG00000027931,NPPB,"NPR1 (ANPRA, NPRA, GUCY2A, ANPa)",secreted,cell membrane
CDB15:0001131,Nppb Npr2,Nppb,Npr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nppb%20Npr2-based-on-Pubmed-ID-2570358-in-mouse,Nppb (BNP),"Npr2 (guanylyl cyclase-B, cn, pwe)",MGI:97368,MGI:97372,ENSMUSG00000029019,ENSMUSG00000028469,NPPB,"NPR2 (ANPRB, NPRB, AMDM, GUCY2B, ANPb, GC-B)",secreted,cell membrane
CDB15:0001132,Nppb Npr3,Nppb,Npr3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nppb%20Npr3-based-on-Pubmed-ID-11533490,%201309330,%207901875-in-mouse",Nppb (BNP),"Npr3 (Nppc receptor, lgj, longjohn, NPR-C, B430320C24Rik)",MGI:97368,MGI:97373,ENSMUSG00000029019,ENSMUSG00000022206,NPPB,"NPR3 (NPRC, ANPRC, C5orf23, GUCY2B, FLJ14054)",secreted,cell membrane
CDB15:0001133,Nppc Npr2,Nppc,Npr2,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nppc%20Npr2-based-on-Pubmed-ID-12709393,%201309330,%201672777,%2019805384-in-mouse","Nppc (natriuretic peptide precursor C, CNP, lbab)","Npr2 (guanylyl cyclase-B, cn, pwe)",MGI:97369,MGI:97372,ENSMUSG00000026241,ENSMUSG00000028469,NPPC (CNP),"NPR2 (ANPRB, NPRB, AMDM, GUCY2B, ANPb, GC-B)",secreted,cell membrane
CDB15:0001134,Nppc Npr3,Nppc,Npr3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nppc%20Npr3-based-on-Pubmed-ID-11533490,%201309330-in-mouse","Nppc (natriuretic peptide precursor C, CNP, lbab)","Npr3 (Nppc receptor, lgj, longjohn, NPR-C, B430320C24Rik)",MGI:97369,MGI:97373,ENSMUSG00000026241,ENSMUSG00000022206,NPPC (CNP),"NPR3 (NPRC, ANPRC, C5orf23, GUCY2B, FLJ14054)",secreted,cell membrane
CDB15:0001135,Nps Npsr1,Nps,Npsr1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nps%20Npsr1-based-on-Pubmed-ID-15312648-in-mouse,Nps (ENSMUSG00000073804),"Npsr1 (PGR14, VRR1, 9330128H10Rik, Gpr154)",MGI:3642232,MGI:2441738,ENSMUSG00000073804,ENSMUSG00000043659,NPS,"NPSR1 (GPR154, PGR14, GPRA)",secreted,cell membrane
CDB15:0001136,Npvf Npffr1,Npvf,Npffr1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npvf%20Npffr1-based-on-Pubmed-ID-11481330-in-mouse,"Npvf (NPVF, Rfrp)","Npffr1 (LOC237362, NPFF1, Gpr147, NPFF1R)",MGI:1926488,MGI:2685082,ENSMUSG00000029831,ENSMUSG00000020090,"NPVF (C7orf9, RFRP)","NPFFR1 (GPR147, OT7T022, NPFF1R1)",secreted,cell membrane
CDB15:0001137,Npvf Npffr2,Npvf,Npffr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npvf%20Npffr2-based-on-Pubmed-ID-11481330-in-mouse,"Npvf (NPVF, Rfrp)","Npffr2 (NPFF2, Gpr74)",MGI:1926488,MGI:1860130,ENSMUSG00000029831,ENSMUSG00000035528,"NPVF (C7orf9, RFRP)","NPFFR2 (GPR74, NPFF2, NPGPR)",secreted,cell membrane
CDB15:0001138,Npw Npbwr1,Npw,Npbwr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npw%20Npbwr1-based-on-Pubmed-ID-12130646,%2012401809-in-mouse",Npw (LOC381073),Npbwr1 (Gpr7),MGI:2685781,MGI:891989,ENSMUSG00000071230,ENSMUSG00000033774,NPW (PPL8),NPBWR1 (GPR7),secreted,cell membrane
CDB15:0001140,Npy Npffr2,Npy,Npffr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npy%20Npffr2-based-on-Pubmed-ID-11325787-in-mouse,Npy (0710005A05Rik),"Npffr2 (NPFF2, Gpr74)",MGI:97374,MGI:1860130,ENSMUSG00000029819,ENSMUSG00000035528,NPY (PYY4),"NPFFR2 (GPR74, NPFF2, NPGPR)",secreted,cell membrane
CDB15:0001141,Npy Npy1r,Npy,Npy1r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npy%20Npy1r-based-on-Pubmed-ID-15966750,%2035165283-in-mouse",Npy (0710005A05Rik),"Npy1r (Y1-R, Npyr)",MGI:97374,MGI:104963,ENSMUSG00000029819,ENSMUSG00000036437,NPY (PYY4),NPY1R (NPYR),secreted,cell membrane
CDB15:0001142,Npy Npy2r,Npy,Npy2r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npy%20Npy2r-based-on-Pubmed-ID-15966750,%207559383,%207592910,%208632753-in-mouse",Npy (0710005A05Rik),Npy2r (NPY-Y2 receptor),MGI:97374,MGI:108418,ENSMUSG00000029819,ENSMUSG00000028004,NPY (PYY4),NPY2R,secreted,cell membrane
CDB15:0001143,Npy Npy4r,Npy,Npy4r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npy%20Npy4r-based-on-Pubmed-ID-15966750,%207592911-in-mouse",Npy (0710005A05Rik),"Npy4r (NYYR-D, Y4, Ppyr1)",MGI:97374,MGI:105374,ENSMUSG00000029819,ENSMUSG00000048337,NPY (PYY4),"NPY4R (PPYR1, Y4, PP1)",secreted,cell membrane
CDB15:0001144,Npy Npy5r,Npy,Npy5r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npy%20Npy5r-based-on-Pubmed-ID-15966750,%208824284-in-mouse",Npy (0710005A05Rik),Npy5r (Y5R),MGI:97374,MGI:108082,ENSMUSG00000029819,ENSMUSG00000044014,NPY (PYY4),NPY5R (NPYR5),secreted,cell membrane
CDB15:0001145,Npy Prlhr,Npy,Prlhr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Npy%20Prlhr-based-on-Pubmed-ID-15885496-in-mouse,Npy (0710005A05Rik),"Prlhr (LOC226278, PrRPR, GR3, Gpr10)",MGI:97374,MGI:2135956,ENSMUSG00000029819,ENSMUSG00000045052,NPY (PYY4),"PRLHR (GPR10, PrRPR)",secreted,cell membrane
CDB15:0001146,Nrg1 Erbb2,Nrg1,Erbb2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nrg1%20Erbb2-based-on-Pubmed-ID-1350381,%207514177-in-mouse","Nrg1 (HGL, HRG, Hgl, SMDF, GGF, ARIA, heregulin, D230005F13Rik, HRGalpha, 6030402G23Rik, GGFII, NDF)","Erbb2 (Neu, Neu oncogene, c-erbB2, HER-2, ErbB-2, HER2, c-neu, l11Jus8)",MGI:96083,MGI:95410,ENSMUSG00000062991,ENSMUSG00000062312,"NRG1 (HGL, NRG1-IT2, HRG, NDF, GGF)","ERBB2 (NGL, NEU, HER-2, CD340, HER2, c-ERB2, c-ERB-2, MLN-19, p185(erbB2))","secreted, cell membrane",cell membrane
CDB15:0001147,Nrg1 Erbb3,Nrg1,Erbb3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nrg1%20Erbb3-based-on-Pubmed-ID-10214951,%2010348342,%2010995872,%2011555649,%2022891299,%2024036211,%207514177,%207592681,%208702572,%209565587-in-mouse","Nrg1 (HGL, HRG, Hgl, SMDF, GGF, ARIA, heregulin, D230005F13Rik, HRGalpha, 6030402G23Rik, GGFII, NDF)","Erbb3 (Erbb-3, Erbb3r, HER3)",MGI:96083,MGI:95411,ENSMUSG00000062991,ENSMUSG00000018166,"NRG1 (HGL, NRG1-IT2, HRG, NDF, GGF)","ERBB3 (LCCS2, HER3)","secreted, cell membrane",cell membrane
CDB15:0001148,Nrg1 Erbb4,Nrg1,Erbb4,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nrg1%20Erbb4-based-on-Pubmed-ID-10348342,%2010537356,%2010995872,%2022891299,%208062828,%209565587-in-mouse","Nrg1 (HGL, HRG, Hgl, SMDF, GGF, ARIA, heregulin, D230005F13Rik, HRGalpha, 6030402G23Rik, GGFII, NDF)","Erbb4 (ErbB4, Her4)",MGI:96083,MGI:104771,ENSMUSG00000062991,ENSMUSG00000062209,"NRG1 (HGL, NRG1-IT2, HRG, NDF, GGF)","ERBB4 (ALS19, HER4)","secreted, cell membrane",cell membrane
CDB15:0001149,Nrg2 Erbb3,Nrg2,Erbb3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Nrg2%20Erbb3-based-on-Pubmed-ID-9168114,%209168115-in-mouse","Nrg2 (NTAK, Don1)","Erbb3 (Erbb-3, Erbb3r, HER3)",MGI:1098246,MGI:95411,ENSMUSG00000060275,ENSMUSG00000018166,"NRG2 (Don-1, NTAK, HRG2)","ERBB3 (LCCS2, HER3)","secreted, cell membrane",cell membrane
